"Senator","State","Amount"
"Udall Tom (D-NM)","New Mexico","$2169178"
"King Angus (I-ME)","Maine","$2085486"
"Faircloth Lauch (R-NC)","North Carolina","$2080800"
"Burns Conrad (R-MT)","Montana","$2031821"
"Alsobrooks Angela (D-MD)","Maryland","$1991875"
"Coverdell Paul (R-GA)","Georgia","$1972077"
"Frist Bill (R-TN)","Tennessee","$1947557"
"Curtis John (R-UT)","Utah","$1902045"
"Coats Dan (R-IN)","Indiana","$1883043"
"Padilla Alex (D-CA)","California","$1872016"
"Hoeven John (R-ND)","North Dakota","$1866473"
"Ashcroft John (R-MO)","Missouri","$1851876"
"Begich Mark (D-AK)","Alaska","$1817257"
"Roth William V Jr (R-DE)","Delaware","$1809974"
"Enzi Mike (R-WY)","Wyoming","$1793568"
"Banks Jim (R-IN)","Indiana","$1771880"
"Mikulski Barbara A (D-MD)","Maryland","$1767267"
"Wilson Pete (R)","","$1745291"
"Hagel Chuck (R-NE)","Nebraska","$1741046"
"Marshall Roger (R-KS)","Kansas","$1710827"
"Ricketts Pete (R-NE)","Nebraska","$1704172"
"Robb Charles S (D-VA)","Virginia","$1690297"
"Domenici Pete V (R-NM)","New Mexico","$1642743"
"Mullin Markwayne (R-OK)","Oklahoma","$1628013"
"Hirono Mazie K (D-HI)","Hawaii","$1622371"
"Cochran Thad (R-MS)","Mississippi","$1602746"
"Allard Wayne (R-CO)","Colorado","$1602533"
"Corzine Jon S (D-NJ)","New Jersey","$1567455"
"Inouye Daniel K (D-HI)","Hawaii","$1567035"
"Moynihan Daniel Patrick (D-NY)","New York","$1560808"
"Tuberville Tommy (R-AL)","Alabama","$1554580"
"Cleland Max (D-GA)","Georgia","$1543502"
"Lott Trent (R-MS)","Mississippi","$1540187"
"Braun Mike (R-IN)","Indiana","$1513842"
"Braun Carol Moseley (D)","","$1497677"
"Brownback Sam (R)","","$1473667"
"Boschwitz Rudy (R-MN)","Minnesota","$1464506"
"Dorgan Byron L (D-ND)","North Dakota","$1409237"
"Grams Rod (R-MN)","Minnesota","$1374601"
"Leahy Patrick (D-VT)","Vermont","$1359875"
"Risch James E (R-ID)","Idaho","$1347761"
"Warner John W (R-VA)","Virginia","$1346831"
"Coburn Tom (R-OK)","Oklahoma","$1300708"
"Mack Connie (R-FL)","Florida","$1283273"
"Pressler Larry (I-SD)","South Dakota","$1266546"
"Bingaman Jeff (D-NM)","New Mexico","$1246448"
"Gorton Slade (R-WA)","Washington","$1228621"
"Schmitt Eric (R-MO)","Missouri","$1226634"
"Gregg Judd (R-NH)","New Hampshire","$1188619"
"Stevens Ted (R-AK)","Alaska","$1186349"
"Breaux John (D-LA)","Louisiana","$1176226"
"Hyde-Smith Cindy (R-MS)","Mississippi","$1175897"
"Welch Peter (D-VT)","Vermont","$1170650"
"Sarbanes Paul S (D-MD)","Maryland","$1144796"
"Nickles Don (R-OK)","Oklahoma","$1120523"
"Seymour John F (R-CA)","California","$1114067"
"Helms Jesse (R-NC)","North Carolina","$1076816"
"Fitzgerald Peter G (R-IL)","Illinois","$1053073"
"Chafee Lincoln (L)","","$1034641"
"Campbell Ben Nighthorse (R-CO)","Colorado","$1018505"
"Wofford Harris (D-PA)","Pennsylvania","$1000328"
"Hutchinson Tim (R-AR)","Arkansas","$995296"
"Hollings Fritz (D-SC)","South Carolina","$970084"
"Sasser Jim (D-TN)","Tennessee","$964697"
"Smith Bob (R-NH)","New Hampshire","$961962"
"Webb Jim (D)","","$945236"
"Johanns Mike (R-NE)","Nebraska","$936537"
"Lummis Cynthia (R-WY)","Wyoming","$897431"
"Fowler Wyche Jr (D-GA)","Georgia","$852832"
"Kasten Bob (R-WI)","Wisconsin","$841720"
"Craig Larry (R-ID)","Idaho","$810284"
"Carnahan Jean (D-MO)","Missouri","$804705"
"Packwood Bob (R-OR)","Oregon","$787267"
"Simon Paul (D-IL)","Illinois","$780470"
"Strange Luther (R-AL)","Alabama","$768162"
"Bryan Richard H (D-NV)","Nevada","$721539"
"Akaka Daniel K (D-HI)","Hawaii","$688546"
"Sanford James Terry (D-NC)","North Carolina","$685226"
"Thomas Craig (R-WY)","Wyoming","$672797"
"Dixon Alan J (D-IL)","Illinois","$648040"
"Glenn John (D-OH)","Ohio","$645300"
"Brown Hank (R-CO)","Colorado","$643735"
"Justice Jim (R-WV)","West Virginia","$597769"
"Jeffords James M (I-VT)","Vermont","$591939"
"Thurmond Strom (R-SC)","South Carolina","$529617"
"Chafee John H (R-RI)","Rhode Island","$501784"
"Byrd Robert C (D-WV)","West Virginia","$476080"
"Wellstone Paul (D-MN)","Minnesota","$463021"
"Murkowski Frank H (R-AK)","Alaska","$454033"
"Krueger Robert (Bob) (D-TX)","Texas","$449299"
"Cohen William S (R-ME)","Maine","$446446"
"Nunn Sam (D-GA)","Georgia","$443255"
"Wirth Timothy E (D-CO)","Colorado","$442346"
"Miller Zell (D-GA)","Georgia","$433100"
"Heflin Howell (D-AL)","Alabama","$432999"
"Mitchell George J (D-ME)","Maine","$417637"
"Pell Claiborne (D-RI)","Rhode Island","$385442"
"Johnston J Bennett (D-LA)","Louisiana","$376102"
"Simpson Alan K (R-WY)","Wyoming","$351124"
"Cranston Alan (D)","","$339332"
"Exon Jim (D-NE)","Nebraska","$322901"
"Bentsen Lloyd (D-TX)","Texas","$320425"
"Ford Wendell H (D-KY)","Kentucky","$314773"
"Hatfield Mark O (R-OR)","Oregon","$314712"
"Bumpers Dale (D-AR)","Arkansas","$305750"
"Boren David Lyle (D-OK)","Oklahoma","$305080"
"Lemieux George S (R-FL)","Florida","$293274"
"Walsh John (D-MT)","Montana","$289768"
"Pryor David (D-AR)","Arkansas","$267040"
"Deconcini Dennis (D-AZ)","Arizona","$209220"
"Kempthorne Dirk (R-ID)","Idaho","$192978"
"Riegle Donald W Jr (D-MI)","Michigan","$189229"
"Symms Steven D (R-ID)","Idaho","$139199"
"Durenberger Dave (R-MN)","Minnesota","$127255"
"Adams Brock (D-WA)","Washington","$93375"
"Kohl Herb (D-WI)","Wisconsin","$85700"
"Kassebaum Nancy Landon (R-KS)","Kansas","$80630"
"Frahm Sheila (R-KS)","Kansas","$78825"
"Heinz John (R-PA)","Pennsylvania","$57400"
"Dayton Mark (D-MN)","Minnesota","$54850"
"Garn Jake (R-UT)","Utah","$51300"
"Wallop Malcolm (R-WY)","Wyoming","$28000"
"Barkley Dean M (I-MN)","Minnesota","$24778"
"Mathews Harlan (D-TN)","Tennessee","$19000"
"Rudman Warren B (R-NH)","New Hampshire","$18000"
"McClure James A (R-ID)","Idaho","$11100"
"Matsunaga Spark M (D-HI)","Hawaii","$9000"
"Danforth John C (R-MO)","Missouri","$7874"
"Burris Roland (D-IL)","Illinois","$6200"
