"Representative","State","Amount"
"Jeffries Hakeem (D-NY)","New York","$7263974"
"Luetkemeyer Blaine (R-MO)","Missouri","$7168699"
"Burr Richard (R-NC)","North Carolina","$7067608"
"Murphy Christopher S (D-CT)","Connecticut","$7056505"
"Huizenga Bill (R-MI)","Michigan","$7028384"
"Allred Colin (D-TX)","Texas","$6995580"
"Meeks Gregory (D-NY)","New York","$6960603"
"Tiberi Pat (R-OH)","Ohio","$6899033"
"Baldwin Tammy (D-WI)","Wisconsin","$6856413"
"O'Rourke Beto (D)","","$6795048"
"Stabenow Debbie (D-MI)","Michigan","$6737496"
"Cassidy Bill (R-LA)","Louisiana","$6690387"
"Daines Steven (R-MT)","Montana","$6673776"
"DeSantis Ron (R)","","$6624827"
"Cantwell Maria (D-WA)","Washington","$6566293"
"Sherman Brad (D-CA)","California","$6491881"
"Blackburn Marsha (R-TN)","Tennessee","$6486557"
"Bachus Spencer (R-AL)","Alabama","$6353665"
"Roskam Peter (R-IL)","Illinois","$6235273"
"Heller Dean (R-NV)","Nevada","$6105728"
"Schneider Brad (D-IL)","Illinois","$5973056"
"Durbin Dick (D-IL)","Illinois","$5960347"
"Markey Ed (D-MA)","Massachusetts","$5900019"
"Cardin Ben (D-MD)","Maryland","$5853423"
"Allen George (R-VA)","Virginia","$5852049"
"Gephardt Richard A (D)","","$5805086"
"Lowey Nita M (D-NY)","New York","$5800817"
"Rangel Charles B (D-NY)","New York","$5791460"
"Buchanan Vernon (R-FL)","Florida","$5662153"
"Emmer Tom (R-MN)","Minnesota","$5658041"
"Larson John (D-CT)","Connecticut","$5649728"
"Rodgers Cathy McMorris (R-WA)","Washington","$5604466"
"Brady Kevin (R-TX)","Texas","$5592512"
"Capito Shelley Moore (R-WV)","West Virginia","$5525978"
"Stefanik Elise (R-NY)","New York","$5490958"
"Foster Bill (D-IL)","Illinois","$5430398"
"Perlmutter Ed (D-CO)","Colorado","$5359827"
"Torres Ritchie (D-NY)","New York","$5354375"
"Van Hollen Chris (D-MD)","Maryland","$5330468"
"Garrett Scott (R-NJ)","New Jersey","$5322173"
"Sherrill Mikie (D-NJ)","New Jersey","$5169442"
"Maloney Sean Patrick (D-NY)","New York","$5115935"
"Carper Tom (D-DE)","Delaware","$5086037"
"Paulsen Erik (R-MN)","Minnesota","$5056476"
"Scott David (D-GA)","Georgia","$4997980"
"Murphy Patrick (D-FL)","Florida","$4983748"
"Kennedy Joe III (D-MA)","Massachusetts","$4968157"
"Dold Bob (R-IL)","Illinois","$4958583"
"Reed Jack (D-RI)","Rhode Island","$4915017"
"Kyl Jon (R-AZ)","Arizona","$4874771"
"Williams Roger (R-TX)","Texas","$4839709"
"Moulton Seth (D-MA)","Massachusetts","$4820918"
"Suozzi Tom (D-NY)","New York","$4815458"
"Donnelly Joe (D-IN)","Indiana","$4793440"
"Ryan Tim (D-OH)","Ohio","$4772486"
"Steil Bryan (R-WI)","Wisconsin","$4764079"
"Clyburn James E (D-SC)","South Carolina","$4759077"
"Wicker Roger (R-MS)","Mississippi","$4753606"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$4749153"
"Israel Steve (D-NY)","New York","$4719264"
"Ford Harold E Jr (D-TN)","Tennessee","$4684670"
"Gallego Ruben (D-AZ)","Arizona","$4678617"
"Kasich John (R)","","$4669622"
"DeWine Mike (R-OH)","Ohio","$4619856"
"Frank Barney (D-MA)","Massachusetts","$4569865"
"Nunes Devin (R-CA)","California","$4567340"
"Zeldin Lee (R-NY)","New York","$4534366"
"Shays Christopher (R-CT)","Connecticut","$4533819"
"Kean Thomas H Jr (R-NJ)","New Jersey","$4471754"
"Thompson Mike (D-CA)","California","$4461462"
"Kim Young (R-CA)","California","$4460473"
"Rose Max (D-NY)","New York","$4450912"
"Sewell Terri (D-AL)","Alabama","$4395029"
"Moran Jerry (R-KS)","Kansas","$4352795"
"Chambliss Saxby (R-GA)","Georgia","$4350810"
"Boxer Barbara (D-CA)","California","$4346209"
"Kanjorski Paul E (D-PA)","Pennsylvania","$4323081"
"Kind Ron (D-WI)","Wisconsin","$4312707"
"Udall Mark (D-CO)","Colorado","$4302625"
"Duffy Sean P (R-WI)","Wisconsin","$4263198"
"Kim Andy (D-NJ)","New Jersey","$4239046"
"McCaul Michael (R-TX)","Texas","$4229247"
"Krishnamoorthi Raja (D-IL)","Illinois","$4216555"
"Beatty Joyce (D-OH)","Ohio","$4198590"
"Harder Josh (D-CA)","California","$4138569"
"Johnson Tim (D-SD)","South Dakota","$4112066"
"Budd Ted (R-NC)","North Carolina","$4097808"
"Craig Angie (D-MN)","Minnesota","$4093959"
"Reed Tom (R-NY)","New York","$4023207"
"Crist Charlie (D-FL)","Florida","$4022928"
"Rogers Mike (R-MI)","Michigan","$4020830"
"Smith Jason (R-MO)","Missouri","$4003630"
"Schweikert David (R-AZ)","Arizona","$3992318"
"Campbell Tom (R-CA)","California","$3969813"
"Lee Susie (D-NV)","Nevada","$3958685"
"Talent James M (R-MO)","Missouri","$3930138"
"Crenshaw Dan (R-TX)","Texas","$3874317"
"Horsford Steven (D-NV)","Nevada","$3873758"
"Cheney Liz (R-WY)","Wyoming","$3870680"
"Chabot Steve (R-OH)","Ohio","$3866759"
"Moore Gwen (D-WI)","Wisconsin","$3864552"
"Calvert Ken (R-CA)","California","$3849447"
"Schultz Debbie Wasserman (D-FL)","Florida","$3831078"
"Lucas Frank D (R-OK)","Oklahoma","$3825644"
"Cleaver Emanuel (D-MO)","Missouri","$3801620"
"Hastert Dennis (R-IL)","Illinois","$3761695"
"Waters Maxine (D-CA)","California","$3687936"
"Yoder Kevin (R-KS)","Kansas","$3684696"
"Sununu John E (R-NH)","New Hampshire","$3673095"
"Mucarsel-Powell Debbie (D-FL)","Florida","$3665931"
"Spanberger Abigail (D-VA)","Virginia","$3643757"
"Richardson Bill (D)","","$3638650"
"Duckworth Tammy (D-IL)","Illinois","$3614130"
"Golden Jared (D-ME)","Maine","$3601016"
"Heck Joe (R-NV)","Nevada","$3577265"
"Camp Dave (R-MI)","Michigan","$3569490"
"Neugebauer Randy (R-TX)","Texas","$3555967"
"King Pete (R-NY)","New York","$3552701"
"Demings Val (D-FL)","Florida","$3523651"
"Baker Richard (R-LA)","Louisiana","$3521105"
"Pomeroy Earl (D-ND)","North Dakota","$3520866"
"LaHood Darin (R-IL)","Illinois","$3512872"
"Gingrich Newt (R)","","$3441057"
"Porter Katie (D-CA)","California","$3420452"
"Pallone Frank Jr (D-NJ)","New Jersey","$3406600"
"Gallagher Mike (R-WI)","Wisconsin","$3402313"
"Poliquin Bruce (R-ME)","Maine","$3383308"
"Delaney John K (D)","","$3379506"
"Roberts Pat (R-KS)","Kansas","$3359981"
"Nadler Jerrold (D-NY)","New York","$3359457"
"Granger Kay (R-TX)","Texas","$3333999"
"Boozman John (R-AR)","Arkansas","$3331893"
"Castle Michael N (R-DE)","Delaware","$3331233"
"Johnson Nancy L (R-CT)","Connecticut","$3314745"
"Hudson Richard (R-NC)","North Carolina","$3301455"
"Boustany Charles Jr (R-LA)","Louisiana","$3290520"
"Vitter David (R-LA)","Louisiana","$3285411"
"Wilson Heather A (R-NM)","New Mexico","$3274782"
"DeMint Jim (R-SC)","South Carolina","$3237919"
"Shaw E Clay Jr (R-FL)","Florida","$3237520"
"Casten Sean (D-IL)","Illinois","$3229042"
"Paul Ron (R)","","$3221197"
"Lincoln Blanche (D-AR)","Arkansas","$3205621"
"Biggert Judy (R-IL)","Illinois","$3196822"
"Malinowski Tom (D-NJ)","New Jersey","$3195199"
"Luria Elaine (D-VA)","Virginia","$3187461"
"Upton Fred (R-MI)","Michigan","$3186459"
"Delgado Antonio (D-NY)","New York","$3178808"
"Pascrell Bill Jr (D-NJ)","New Jersey","$3165141"
"Emanuel Rahm (D-IL)","Illinois","$3163548"
"Flake Jeff (R-AZ)","Arizona","$3154242"
"Coffman Mike (R-CO)","Colorado","$3140926"
"Torricelli Robert G (D-NJ)","New Jersey","$3131553"
"Cuellar Henry (D-TX)","Texas","$3115442"
"Zimmer Dick (R-NJ)","New Jersey","$3085791"
"Bacon Donald John (R-NE)","Nebraska","$3066064"
"Lynch Stephen (D-MA)","Massachusetts","$3059337"
"Steel Michelle (R-CA)","California","$3041051"
"McCollum Bill (R-FL)","Florida","$3036025"
"Aguilar Pete (D-CA)","California","$3021053"
"Pryce Deborah (R-OH)","Ohio","$3009469"
"Price Tom (R-GA)","Georgia","$3004236"
"Kuster Ann (D-NH)","New Hampshire","$3002406"
"Issa Darrell (R-CA)","California","$2996031"
"Kustoff David (R-TN)","Tennessee","$2995292"
"Cramer Kevin (R-ND)","North Dakota","$2968618"
"Smith Adrian (R-NE)","Nebraska","$2963283"
"Vargas Juan (D-CA)","California","$2959970"
"Heinrich Martin (D-NM)","New Mexico","$2948950"
"Johnson Mike (R-LA)","Louisiana","$2932854"
"Clark Katherine (D-MA)","Massachusetts","$2929333"
"Gerlach Jim (R-PA)","Pennsylvania","$2927197"
"Reichert Dave (R-WA)","Washington","$2922233"
"Tenney Claudia (R-NY)","New York","$2919275"
"Auchincloss Jake (D-MA)","Massachusetts","$2917355"
"Lankford James (R-OK)","Oklahoma","$2914846"
"Peters Scott (D-CA)","California","$2903351"
"Velazquez Nydia (D-NY)","New York","$2900487"
"Davids Sharice (D-KS)","Kansas","$2889889"
"Stevens Haley (D-MI)","Michigan","$2889052"
"Wild Susan (D-PA)","Pennsylvania","$2871583"
"Garcia Mike (R-CA)","California","$2835845"
"Bean Melissa (D-IL)","Illinois","$2831412"
"Capuano Michael E (D-MA)","Massachusetts","$2822722"
"Hinson Ashley (R-IA)","Iowa","$2820437"
"Eshoo Anna (D-CA)","California","$2812876"
"DelBene Suzan (D-WA)","Washington","$2812182"
"Ensign John (R-NV)","Nevada","$2808715"
"Swalwell Eric (D-CA)","California","$2806492"
"Rochester Lisa Blunt (D-DE)","Delaware","$2805298"
"Johnson Sam (R-TX)","Texas","$2801291"
"Houlahan Chrissy (D-PA)","Pennsylvania","$2782813"
"Levin Sander (D-MI)","Michigan","$2778825"
"Underwood Lauren A (D-IL)","Illinois","$2775324"
"Kildee Dan (D-MI)","Michigan","$2765341"
"Valadao David (R-CA)","California","$2761412"
"Kennedy Mark (R-MN)","Minnesota","$2755279"
"Oxley Michael G (R-OH)","Ohio","$2749534"
"Sanchez Linda (D-CA)","California","$2745077"
"Berkley Shelley (D-NV)","Nevada","$2744157"
"Inhofe James M (R-OK)","Oklahoma","$2734876"
"Dreier David (R-CA)","California","$2730178"
"Renacci Jim (R-OH)","Ohio","$2709279"
"Kelly Mike (R-PA)","Pennsylvania","$2688894"
"Salazar Maria (R-FL)","Florida","$2685570"
"Walden Greg (R-OR)","Oregon","$2684130"
"Snowe Olympia (R-ME)","Maine","$2682028"
"Bunning Jim (R-KY)","Kentucky","$2677127"
"Beutler Jaime Herrera (R-WA)","Washington","$2674593"
"Northup Anne M (R-KY)","Kentucky","$2665293"
"Fletcher Lizzie (D-TX)","Texas","$2663938"
"Walberg Tim (R-MI)","Michigan","$2656510"
"Foxx Virginia (R-NC)","North Carolina","$2655989"
"Garbarino Andrew (R-NY)","New York","$2636369"
"Becerra Xavier (D-CA)","California","$2627008"
"Cooper Jim (D-TN)","Tennessee","$2618257"
"Cole Tom (R-OK)","Oklahoma","$2594133"
"Ryan Pat (D-NY)","New York","$2590862"
"Fitzpatrick Michael G (R-PA)","Pennsylvania","$2590728"
"Frost Martin (D-TX)","Texas","$2580582"
"Knollenberg Joe (R-MI)","Michigan","$2577970"
"Rogers Mike D (R-AL)","Alabama","$2577314"
"Engel Eliot (D-NY)","New York","$2572986"
"Zinke Ryan (R-MT)","Montana","$2568397"
"Schrier Kim (D-WA)","Washington","$2554567"
"Klein Ron (D-FL)","Florida","$2549148"
"Davis Rodney (R-IL)","Illinois","$2542111"
"Hurd Will (R)","","$2540480"
"Rice Kathleen (D-NY)","New York","$2530267"
"Sestak Joe (D)","","$2526167"
"Hultgren Randy (R-IL)","Illinois","$2525885"
"Axne Cindy (D-IA)","Iowa","$2525830"
"Levin Mike (D-CA)","California","$2522728"
"Joyce David P (R-OH)","Ohio","$2515182"
"Bera Ami (D-CA)","California","$2512200"
"Van Duyne Beth (R-TX)","Texas","$2511154"
"Lawler Mike (R-NY)","New York","$2507320"
"Taylor Van (R-TX)","Texas","$2482930"
"Moore Dennis (D-KS)","Kansas","$2479935"
"DeLay Tom (R-TX)","Texas","$2477426"
"Curbelo Carlos (R-FL)","Florida","$2475884"
"Gonzalez Vicente (D-TX)","Texas","$2472066"
"Holding George (R-NC)","North Carolina","$2465078"
"Comstock Barbara (R-VA)","Virginia","$2441923"
"Rothfus Keith J (R-PA)","Pennsylvania","$2438962"
"Smith Lamar (R-TX)","Texas","$2417759"
"Jordan Jim (R-OH)","Ohio","$2416822"
"Malliotakis Nicole (R-NY)","New York","$2413452"
"Mack Connie (R-FL)","Florida","$2410759"
"Schwartz Allyson (D-PA)","Pennsylvania","$2404957"
"Davis Tom (R-VA)","Virginia","$2402074"
"Edwards Chet (D-TX)","Texas","$2393923"
"Arrington Jodey (R-TX)","Texas","$2386582"
"Cartwright Matt (D-PA)","Pennsylvania","$2383185"
"Marchant Kenny (R-TX)","Texas","$2382639"
"Beyer Don (D-VA)","Virginia","$2343065"
"Mast Brian (R-FL)","Florida","$2313638"
"Norcross Don (D-NJ)","New Jersey","$2311759"
"Terry Lee (R-NE)","Nebraska","$2310824"
"Phillips Dean (D)","","$2302673"
"Jenkins Lynn (R-KS)","Kansas","$2294888"
"Bilbray Brian P (R-CA)","California","$2294305"
"Meehan Patrick (R-PA)","Pennsylvania","$2289498"
"Tipton Scott (R-CO)","Colorado","$2288112"
"Kelly Sue (R-NY)","New York","$2287858"
"Reynolds Tom (R-NY)","New York","$2278229"
"Jones Mondaire (D-NY)","New York","$2270701"
"Bachmann Michele (R-MN)","Minnesota","$2265736"
"Kilmer Derek (D-WA)","Washington","$2253558"
"Carter John (R-TX)","Texas","$2248577"
"Katko John (R-NY)","New York","$2244335"
"Gonzales Tony (R-TX)","Texas","$2240754"
"Hunt Wesley (R-TX)","Texas","$2237486"
"Lujan Ben Ray (D-NM)","New Mexico","$2234219"
"Walorski Jackie (R-IN)","Indiana","$2224286"
"Blumenauer Earl (D-OR)","Oregon","$2213261"
"Kline John (R-MN)","Minnesota","$2213045"
"Campbell John (R-CA)","California","$2208819"
"McBath Lucy (D-GA)","Georgia","$2196612"
"Conaway Mike (R-TX)","Texas","$2194558"
"Culberson John (R-TX)","Texas","$2186299"
"Schock Aaron (R-IL)","Illinois","$2171679"
"Udall Tom (D-NM)","New Mexico","$2169178"
"Bilirakis Gus (R-FL)","Florida","$2164078"
"Kinzinger Adam (R-IL)","Illinois","$2155998"
"Rouda Harley (D-CA)","California","$2153197"
"Murphy Stephanie (D-FL)","Florida","$2151510"
"Pearce Steve (R-NM)","New Mexico","$2149029"
"Rehberg Denny (R-MT)","Montana","$2139014"
"Davis Geoff (R-KY)","Kentucky","$2133524"
"Matheson Jim (D-UT)","Utah","$2132339"
"Weller Jerry (R-IL)","Illinois","$2124797"
"Walters Mimi (R-CA)","California","$2122663"
"Ferguson Mike (R-NJ)","New Jersey","$2121665"
"Ross Dennis (R-FL)","Florida","$2121503"
"Kingston Jack (R-GA)","Georgia","$2120349"
"Deutch Ted (D-FL)","Florida","$2119330"
"Andrews Robert E (D-NJ)","New Jersey","$2117019"
"Ackerman Gary (D-NY)","New York","$2116416"
"Lofgren Zoe (D-CA)","California","$2111004"
"Panetta Jimmy (D-CA)","California","$2101718"
"Rosendale Matt (R-MT)","Montana","$2089714"
"Johnson Dusty (R-SD)","South Dakota","$2087178"
"Higgins Brian M (D-NY)","New York","$2080846"
"Kirkpatrick Ann (D-AZ)","Arizona","$2071513"
"Diaz-Balart Mario (R-FL)","Florida","$2065653"
"Faso John (R-NY)","New York","$2062950"
"McCrery Jim (R-LA)","Louisiana","$2062646"
"Bustos Cheri (D-IL)","Illinois","$2055524"
"Love Mia (R-UT)","Utah","$2055108"
"O'Halleran Tom (D-AZ)","Arizona","$2049660"
"Porter Jon (R-NV)","Nevada","$2047890"
"Quigley Mike (D-IL)","Illinois","$2046089"
"Lee Barbara (D-CA)","California","$2042007"
"Miller Gary (R-CA)","California","$2040345"
"Hayworth J D (R-AZ)","Arizona","$2031864"
"Lamb Conor (D-PA)","Pennsylvania","$2025241"
"Pappas Chris (D-NH)","New Hampshire","$2025213"
"Costa Jim (D-CA)","California","$2024979"
"Ferguson Drew (R-GA)","Georgia","$2017609"
"Fossella Vito (R-NY)","New York","$2016956"
"Lieu Ted (D-CA)","California","$2013966"
"Moran Jim (D-VA)","Virginia","$1997806"
"Bishop Sanford (D-GA)","Georgia","$1992812"
"Manzullo Don (R-IL)","Illinois","$1988860"
"Turner Michael R (R-OH)","Ohio","$1985596"
"McCarthy Carolyn (D-NY)","New York","$1984905"
"Van Orden Derrick (R-WI)","Wisconsin","$1975315"
"Berman Howard L (D-CA)","California","$1975081"
"Posey Bill (R-FL)","Florida","$1973379"
"Connolly Gerry (D-VA)","Virginia","$1973069"
"West Allen (R-FL)","Florida","$1967797"
"Kennedy Patrick J (D-RI)","Rhode Island","$1966518"
"Heck Dennis (D-WA)","Washington","$1963370"
"Mace Nancy (R-SC)","South Carolina","$1957276"
"Barton Joe (R-TX)","Texas","$1948104"
"Ciscomani Juan (R-AZ)","Arizona","$1946191"
"Ney Bob (R-OH)","Ohio","$1944754"
"Crow Jason (D-CO)","Colorado","$1944228"
"Rice Tom (R-SC)","South Carolina","$1929720"
"Pence Mike (R)","","$1925311"
"Cicilline David (D-RI)","Rhode Island","$1920765"
"Nunn Zach (R-IA)","Iowa","$1917420"
"McAdams Ben (D-UT)","Utah","$1910206"
"Curtis John (R-UT)","Utah","$1902045"
"De La Cruz Monica (R-TX)","Texas","$1895899"
"Dingell John D (D-MI)","Michigan","$1894348"
"Wilson Joe (R-SC)","South Carolina","$1892213"
"Feenstra Randy (R-IA)","Iowa","$1891077"
"Stanton Greg (D-AZ)","Arizona","$1890552"
"Foley Mark (R-FL)","Florida","$1886236"
"Graves Tom (R-GA)","Georgia","$1884323"
"Lewis John (D-GA)","Georgia","$1882109"
"Handel Karen (R-GA)","Georgia","$1881639"
"Guthrie Brett (R-KY)","Kentucky","$1873276"
"Thomas Bill (R-CA)","California","$1872371"
"Miller-Meeks Mariannette (R-IA)","Iowa","$1870598"
"Ros-Lehtinen Ileana (R-FL)","Florida","$1868936"
"Dent Charlie (R-PA)","Pennsylvania","$1852619"
"Messer Luke (R-IN)","Indiana","$1849846"
"Chu Judy (D-CA)","California","$1845253"
"LaFalce John J (D-NY)","New York","$1833135"
"Simmons Rob (R-CT)","Connecticut","$1832611"
"Frankel Lois (D-FL)","Florida","$1832507"
"English Phil (R-PA)","Pennsylvania","$1831802"
"Frelinghuysen Rodney (R-NJ)","New Jersey","$1811505"
"Hayworth Nan (R-NY)","New York","$1810909"
"Peterson Collin (D-MN)","Minnesota","$1807179"
"Grimm Michael (R-NY)","New York","$1803015"
"Aderholt Robert B (R-AL)","Alabama","$1800529"
"Mooney Alex (R-WV)","West Virginia","$1787687"
"Graves Sam (R-MO)","Missouri","$1776041"
"Banks Jim (R-IN)","Indiana","$1771880"
"Schrader Kurt (D-OR)","Oregon","$1771376"
"McClintock Tom (R-CA)","California","$1768422"
"Loudermilk Barry (R-GA)","Georgia","$1766131"
"Latham Tom (R-IA)","Iowa","$1761588"
"Rohrabacher Dana (R-CA)","California","$1743076"
"Roy Chip (R-TX)","Texas","$1740038"
"Womack Steve (R-AR)","Arkansas","$1739351"
"LaTourette Steve (R-OH)","Ohio","$1733248"
"Goldman Dan (D-NY)","New York","$1731786"
"Boyle Brendan (D-PA)","Pennsylvania","$1728334"
"Young David (R-IA)","Iowa","$1719740"
"Courtney Joe (D-CT)","Connecticut","$1715853"
"Meng Grace (D-NY)","New York","$1715342"
"Ross Deborah (D-NC)","North Carolina","$1712813"
"Marshall Roger (R-KS)","Kansas","$1710827"
"Berg Rick (R-ND)","North Dakota","$1707496"
"Sanchez Loretta (D-CA)","California","$1706730"
"Davidson Warren (R-OH)","Ohio","$1705405"
"Bishop Timothy H (D-NY)","New York","$1692429"
"Doggett Lloyd (D-TX)","Texas","$1691653"
"Westmoreland Lynn A (R-GA)","Georgia","$1689354"
"Harris Katherine (R-FL)","Florida","$1689045"
"Gillen Laura (D-NY)","New York","$1688567"
"Ruppersberger Dutch (D-MD)","Maryland","$1677491"
"Wenstrup Brad (R-OH)","Ohio","$1675772"
"Palmer Gary (R-AL)","Alabama","$1672058"
"Gonzalez Anthony (R-OH)","Ohio","$1670502"
"Bost Mike (R-IL)","Illinois","$1668599"
"Denham Jeff (R-CA)","California","$1665971"
"Maffei Dan (D-NY)","New York","$1659767"
"Hurt Robert (R-VA)","Virginia","$1655639"
"Shimkus John (R-IL)","Illinois","$1653467"
"Crenshaw Ander (R-FL)","Florida","$1650791"
"Fincher Steve (R-TN)","Tennessee","$1650234"
"Smith Adam (D-WA)","Washington","$1650072"
"Deutsch Peter (D-FL)","Florida","$1648640"
"Kaptur Marcy (D-OH)","Ohio","$1645002"
"Fortenberry Jeff (R-NE)","Nebraska","$1633495"
"Small Xochitl Torres (D-NM)","New Mexico","$1631521"
"Kiggans Jen (R-VA)","Virginia","$1629975"
"Mullin Markwayne (R-OK)","Oklahoma","$1628013"
"Veasey Marc (D-TX)","Texas","$1626262"
"Carney John (D-DE)","Delaware","$1624669"
"Hirono Mazie K (D-HI)","Hawaii","$1622371"
"Noem Kristi (R-SD)","South Dakota","$1619685"
"Webster Daniel (R-FL)","Florida","$1612624"
"Sarbanes John (D-MD)","Maryland","$1612252"
"Scholten Hillary (D-MI)","Michigan","$1611788"
"DeGette Diana (D-CO)","Colorado","$1607051"
"Allard Wayne (R-CO)","Colorado","$1602533"
"Nethercutt George R Jr (R-WA)","Washington","$1601580"
"Finkenauer Abby (D-IA)","Iowa","$1593634"
"Goodlatte Bob (R-VA)","Virginia","$1593171"
"Clay William L Jr (D-MO)","Missouri","$1587121"
"Lance Leonard (R-NJ)","New Jersey","$1585569"
"Donalds Byron (R-FL)","Florida","$1583996"
"Espy Mike (D-MS)","Mississippi","$1578852"
"Wexton Jennifer (D-VA)","Virginia","$1577709"
"MacArthur Thomas (R-NJ)","New Jersey","$1575269"
"Ocasio-Cortez Alexandria (D-NY)","New York","$1571239"
"Molinaro Marc (R-NY)","New York","$1568432"
"Titus Dina (D-NV)","Nevada","$1567828"
"Timmons William (R-SC)","South Carolina","$1567338"
"Dean Madeleine (D-PA)","Pennsylvania","$1556948"
"Franks Bob (R-NJ)","New Jersey","$1556783"
"Wolf Frank (R-VA)","Virginia","$1554460"
"Boucher Rick (D-VA)","Virginia","$1553761"
"Gingrey Phil (R-GA)","Georgia","$1550149"
"Bishop Mike (R-MI)","Michigan","$1549883"
"Tanner John (D-TN)","Tennessee","$1547939"
"Schakowsky Jan (D-IL)","Illinois","$1538312"
"Morelle Joseph D (D-NY)","New York","$1536847"
"Riley Josh (D-NY)","New York","$1529864"
"Peltola Mary (D-AK)","Alaska","$1527514"
"Perez Marie Gluesenkamp (D-WA)","Washington","$1526030"
"Murphy Tim (R-PA)","Pennsylvania","$1523680"
"Hollingsworth Trey (R-IN)","Indiana","$1521525"
"Brindisi Anthony (D-NY)","New York","$1519708"
"Jones Walter B Jr (R-NC)","North Carolina","$1518450"
"Thompson Glenn (R-PA)","Pennsylvania","$1518227"
"Linder John (R-GA)","Georgia","$1517265"
"Harris Andy (R-MD)","Maryland","$1507372"
"Myrick Sue (R-NC)","North Carolina","$1495917"
"Wittman Rob (R-VA)","Virginia","$1494389"
"Barrow John (D-GA)","Georgia","$1490986"
"Feeney Tom (R-FL)","Florida","$1485914"
"Hayes Robin (R-NC)","North Carolina","$1483935"
"Pittenger Robert (R-NC)","North Carolina","$1482466"
"McKeon Buck (R-CA)","California","$1480445"
"Gabbard Tulsi (D-HI)","Hawaii","$1480339"
"Bonilla Henry (R-TX)","Texas","$1479479"
"Brownback Sam (R)","","$1473667"
"Estes Ron (R-KS)","Kansas","$1473388"
"Van Drew Jeff (R-NJ)","New Jersey","$1471998"
"Bice Stephanie (R-OK)","Oklahoma","$1466836"
"Gomez Jimmy (D-CA)","California","$1466618"
"Smucker Lloyd (R-PA)","Pennsylvania","$1460378"
"DeLauro Rosa (D-CT)","Connecticut","$1459207"
"Shadegg John (R-AZ)","Arizona","$1458401"
"Rouzer David (R-NC)","North Carolina","$1454614"
"Fleischmann Chuck (R-TN)","Tennessee","$1451488"
"Bentsen Ken (D-TX)","Texas","$1451396"
"Ramstad Jim (R-MN)","Minnesota","$1448867"
"Black Diane (R-TN)","Tennessee","$1443049"
"Harman Jane (D-CA)","California","$1430834"
"Liccardo Sam T. (D-CA)","California","$1430207"
"Green Mark (R-TN)","Tennessee","$1429960"
"Gooden Lance (R-TX)","Texas","$1429352"
"Spratt John M Jr (D-SC)","South Carolina","$1428650"
"Manning Kathy (D-NC)","North Carolina","$1426274"
"Waltz Michael (R-FL)","Florida","$1424580"
"Cox Christopher (R-CA)","California","$1424260"
"Gordon Bart (D-TN)","Tennessee","$1421876"
