"Representative","State","Amount"
"Krishnamoorthi Raja (D-IL)","Illinois","$1517265"
"Lujan Ben Ray (D-NM)","New Mexico","$1508007"
"Scott Tim (R-SC)","South Carolina","$1492253"
"Heinrich Martin (D-NM)","New Mexico","$1484445"
"Inslee Jay (D)","","$1478261"
"Terry Lee (R-NE)","Nebraska","$1476401"
"Waxman Henry (D-CA)","California","$1467971"
"Espy Mike (D-MS)","Mississippi","$1435831"
"Sherrill Mikie (D-NJ)","New Jersey","$1413034"
"Burr Richard (R-NC)","North Carolina","$1410529"
"Davis Tom (R-VA)","Virginia","$1401536"
"Craig Angie (D-MN)","Minnesota","$1383272"
"Davids Sharice (D-KS)","Kansas","$1382218"
"Hastert Dennis (R-IL)","Illinois","$1376423"
"Guthrie Brett (R-KY)","Kentucky","$1374668"
"Underwood Lauren A (D-IL)","Illinois","$1361023"
"Spanberger Abigail (D-VA)","Virginia","$1356647"
"Moran Jerry (R-KS)","Kansas","$1351616"
"Hill Katie (D-CA)","California","$1342863"
"Lee Susie (D-NV)","Nevada","$1336165"
"Ford Harold E Jr (D-TN)","Tennessee","$1335916"
"Smith Adam (D-WA)","Washington","$1334541"
"Young Todd (R-IN)","Indiana","$1334060"
"Sessions Pete (R-TX)","Texas","$1330488"
"Gabbard Tulsi (D-HI)","Hawaii","$1326550"
"Levin Mike (D-CA)","California","$1323909"
"McBath Lucy (D-GA)","Georgia","$1314806"
"DeWine Mike (R-OH)","Ohio","$1313194"
"Peters Scott (D-CA)","California","$1298115"
"Schultz Debbie Wasserman (D-FL)","Florida","$1280221"
"Malinowski Tom (D-NJ)","New Jersey","$1272624"
"Toomey Pat (R-PA)","Pennsylvania","$1265217"
"DeGette Diana (D-CO)","Colorado","$1260416"
"Campbell Tom (R-CA)","California","$1254222"
"Daines Steven (R-MT)","Montana","$1249438"
"Rouda Harley (D-CA)","California","$1246438"
"Lazio Rick A (R-NY)","New York","$1243097"
"Maloney Sean Patrick (D-NY)","New York","$1223011"
"Rangel Charles B (D-NY)","New York","$1215974"
"Kennedy Joe III (D-MA)","Massachusetts","$1213799"
"Sherman Brad (D-CA)","California","$1209862"
"Crowley Joseph (D-NY)","New York","$1197799"
"Capps Lois (D-CA)","California","$1180158"
"Murtha John P (D-PA)","Pennsylvania","$1174633"
"Lieu Ted (D-CA)","California","$1173582"
"Dorgan Byron L (D-ND)","North Dakota","$1168109"
"Neal Richard E (D-MA)","Massachusetts","$1162806"
"Rose Max (D-NY)","New York","$1159738"
"Kuster Ann (D-NH)","New Hampshire","$1155203"
"Jones Mondaire (D-NY)","New York","$1154629"
"Moran Jim (D-VA)","Virginia","$1144265"
"Becerra Xavier (D-CA)","California","$1141426"
"Chabot Steve (R-OH)","Ohio","$1140147"
"Doyle Mike (D-PA)","Pennsylvania","$1135057"
"McNerney Jerry (D-CA)","California","$1134029"
"Udall Tom (D-NM)","New Mexico","$1122513"
"Heller Dean (R-NV)","Nevada","$1117348"
"Calvert Ken (R-CA)","California","$1115884"
"Pickering Charles (Chip) Jr (R-MS)","Mississippi","$1114329"
"Bass Karen (D-CA)","California","$1108130"
"Bono Mack Mary (R-CA)","California","$1102466"
"Harman Jane (D-CA)","California","$1100318"
"Rogers Mike (R-MI)","Michigan","$1093298"
"Richardson Bill (D)","","$1083038"
"Jayapal Pramila (D-WA)","Washington","$1077866"
"Bera Ami (D-CA)","California","$1058718"
"Wild Susan (D-PA)","Pennsylvania","$1056113"
"Omar Ilhan (D-MN)","Minnesota","$1056012"
"Donnelly Joe (D-IN)","Indiana","$1051481"
"Engel Eliot (D-NY)","New York","$1050611"
"Brady Kevin (R-TX)","Texas","$1040664"
"Sanchez Loretta (D-CA)","California","$1035768"
"Wilson Heather A (R-NM)","New Mexico","$1030243"
"Stevens Haley (D-MI)","Michigan","$1026638"
"Roskam Peter (R-IL)","Illinois","$1020082"
"Aguilar Pete (D-CA)","California","$1011477"
"Emmer Tom (R-MN)","Minnesota","$1011459"
"Stearns Cliff (R-FL)","Florida","$1008926"
"Thompson Bennie G (D-MS)","Mississippi","$1008893"
"Finkenauer Abby (D-IA)","Iowa","$1008453"
"Sensenbrenner Jim (R-WI)","Wisconsin","$1004814"
"Isakson Johnny (R-GA)","Georgia","$1002043"
"Kirk Mark (R-IL)","Illinois","$988253"
"Tauzin Billy (R-LA)","Louisiana","$987103"
"Brownley Julia (D-CA)","California","$986674"
"Lincoln Blanche (D-AR)","Arkansas","$984975"
"McHenry Patrick (R-NC)","North Carolina","$983336"
"Luria Elaine (D-VA)","Virginia","$981150"
"Towns Edolphus (D-NY)","New York","$980061"
"Kinzinger Adam (R-IL)","Illinois","$978163"
"Lee Barbara (D-CA)","California","$975577"
"Paulsen Erik (R-MN)","Minnesota","$963986"
"Larsen Rick (D-WA)","Washington","$947309"
"Horsford Steven (D-NV)","Nevada","$944589"
"Ensign John (R-NV)","Nevada","$943388"
"Riley Josh (D-NY)","New York","$940692"
"Ross Deborah (D-NC)","North Carolina","$939724"
"Graves Sam (R-MO)","Missouri","$938322"
"Axne Cindy (D-IA)","Iowa","$937334"
"Emanuel Rahm (D-IL)","Illinois","$935590"
"Maloney Carolyn (D-NY)","New York","$933798"
"James John (R-MI)","Michigan","$929816"
"Bilirakis Gus (R-FL)","Florida","$923584"
"Clarke Yvette (D-NY)","New York","$921384"
"Tlaib Rashida (D-MI)","Michigan","$920451"
"Crapo Mike (R-ID)","Idaho","$916621"
"Sununu John E (R-NH)","New Hampshire","$913894"
"Reed Jack (D-RI)","Rhode Island","$912999"
"Stefanik Elise (R-NY)","New York","$904266"
"Honda Mike (D-CA)","California","$902914"
"Himes Jim (D-CT)","Connecticut","$899422"
"Sanchez Linda (D-CA)","California","$897606"
"Ryan Pat (D-NY)","New York","$893164"
"Nunes Devin (R-CA)","California","$887064"
"Meeks Gregory (D-NY)","New York","$887009"
"Foster Bill (D-IL)","Illinois","$885732"
"Houlahan Chrissy (D-PA)","Pennsylvania","$881349"
"Small Xochitl Torres (D-NM)","New Mexico","$879542"
"DeSantis Ron (R)","","$876337"
"Cardin Ben (D-MD)","Maryland","$875551"
"Welch Peter (D-VT)","Vermont","$874822"
"Clark Katherine (D-MA)","Massachusetts","$874499"
"Jordan Jim (R-OH)","Ohio","$874369"
"Fletcher Lizzie (D-TX)","Texas","$863468"
"Casten Sean (D-IL)","Illinois","$862895"
"Lowey Nita M (D-NY)","New York","$860989"
"Perez Marie Gluesenkamp (D-WA)","Washington","$854825"
"Reed Tom (R-NY)","New York","$853370"
"Granger Kay (R-TX)","Texas","$852107"
"Cartwright Matt (D-PA)","Pennsylvania","$848583"
"Kilmer Derek (D-WA)","Washington","$847821"
"Gingrich Newt (R)","","$844399"
"Ruiz Raul (D-CA)","California","$842685"
"Hudson Richard (R-NC)","North Carolina","$842468"
"Kirkpatrick Ann (D-AZ)","Arizona","$841867"
"Cotton Tom (R-AR)","Arkansas","$839680"
"Kind Ron (D-WI)","Wisconsin","$838342"
"Schrader Kurt (D-OR)","Oregon","$833969"
"Ruppersberger Dutch (D-MD)","Maryland","$826648"
"Carper Tom (D-DE)","Delaware","$826517"
"Reichert Dave (R-WA)","Washington","$822474"
"Rush Bobby (D-IL)","Illinois","$822460"
"Curtis John (R-UT)","Utah","$816415"
"Butterfield G K (D-NC)","North Carolina","$812820"
"Kyl Jon (R-AZ)","Arizona","$811825"
"Cardenas Tony (D-CA)","California","$809157"
"Gordon Bart (D-TN)","Tennessee","$808940"
"Wexton Jennifer (D-VA)","Virginia","$805859"
"Chambliss Saxby (R-GA)","Georgia","$805308"
"Murphy Patrick (D-FL)","Florida","$804295"
"Aderholt Robert B (R-AL)","Alabama","$803724"
"Talent James M (R-MO)","Missouri","$802825"
"Peltola Mary (D-AK)","Alaska","$799596"
"Dreier David (R-CA)","California","$799085"
"Green Gene (D-TX)","Texas","$795156"
"Cicilline David (D-RI)","Rhode Island","$788824"
"Hirono Mazie K (D-HI)","Hawaii","$784105"
"Johnson Bill (R-OH)","Ohio","$778068"
"Barrow John (D-GA)","Georgia","$773583"
"Levine Mel (D-CA)","California","$771415"
"Lewis John (D-GA)","Georgia","$767225"
"Carter John (R-TX)","Texas","$766906"
"Collins Doug (R-GA)","Georgia","$764344"
"Coffman Mike (R-CO)","Colorado","$763541"
"Snowe Olympia (R-ME)","Maine","$762155"
"Beyer Don (D-VA)","Virginia","$758153"
"Cuellar Henry (D-TX)","Texas","$758011"
"Schneider Brad (D-IL)","Illinois","$756476"
"Cassidy Bill (R-LA)","Louisiana","$754674"
"Oxley Michael G (R-OH)","Ohio","$753745"
"Sestak Joe (D)","","$753235"
"Castor Kathy (D-FL)","Florida","$750574"
"Hurd Will (R)","","$749596"
"DeMint Jim (R-SC)","South Carolina","$743469"
"Lamb Conor (D-PA)","Pennsylvania","$742595"
"Rogers Mike D (R-AL)","Alabama","$742334"
"Roberts Pat (R-KS)","Kansas","$742006"
"Crow Jason (D-CO)","Colorado","$740903"
"Carbajal Salud (D-CA)","California","$740668"
"Cheney Liz (R-WY)","Wyoming","$736075"
"Chu Judy (D-CA)","California","$733859"
"Cox TJ (D-CA)","California","$731643"
"Whitfield Ed (R-KY)","Kentucky","$730833"
"Raskin Jamie (D-MD)","Maryland","$730273"
"Tiberi Pat (R-OH)","Ohio","$729651"
"Dingell Debbie (D-MI)","Michigan","$721032"
"Kasich John (R)","","$720835"
"Moulton Seth (D-MA)","Massachusetts","$720383"
"DeLay Tom (R-TX)","Texas","$720261"
"Smith Jason (R-MO)","Missouri","$719796"
"Perlmutter Ed (D-CO)","Colorado","$719794"
"Fields Jack M Jr (R-TX)","Texas","$718834"
"Capito Shelley Moore (R-WV)","West Virginia","$716087"
"Rogers Hal (R-KY)","Kentucky","$715482"
"Gallagher Mike (R-WI)","Wisconsin","$715350"
"Turner Michael R (R-OH)","Ohio","$714364"
"Doggett Lloyd (D-TX)","Texas","$714225"
"Liccardo Sam T. (D-CA)","California","$713400"
"Brownback Sam (R)","","$712933"
"Bishop Sanford (D-GA)","Georgia","$704885"
"Flake Jeff (R-AZ)","Arizona","$696990"
"Frost Martin (D-TX)","Texas","$695604"
"Torricelli Robert G (D-NJ)","New Jersey","$695559"
"Buchanan Vernon (R-FL)","Florida","$694157"
"Comstock Barbara (R-VA)","Virginia","$692187"
"Kline John (R-MN)","Minnesota","$691112"
"Wagner Ann (R-MO)","Missouri","$686304"
"Veasey Marc (D-TX)","Texas","$684000"
"Boozman John (R-AR)","Arkansas","$683917"
"Bowman Jamaal (D-NY)","New York","$683312"
"Johnson Mike (R-LA)","Louisiana","$682065"
"Matheson Jim (D-UT)","Utah","$679420"
"Cleaver Emanuel (D-MO)","Missouri","$673211"
"Vitter David (R-LA)","Louisiana","$672515"
"Yoder Kevin (R-KS)","Kansas","$668682"
"Rochester Lisa Blunt (D-DE)","Delaware","$665981"
"Long Billy (R-MO)","Missouri","$664544"
"Inhofe James M (R-OK)","Oklahoma","$661667"
"McClintock Tom (R-CA)","California","$660804"
"Berkley Shelley (D-NV)","Nevada","$660555"
"Burgess Michael (R-TX)","Texas","$653161"
"Diaz-Balart Mario (R-FL)","Florida","$652186"
"Titus Dina (D-NV)","Nevada","$650422"
"Camp Dave (R-MI)","Michigan","$647958"
"Israel Steve (D-NY)","New York","$645125"
"Lewis Jerry (R-CA)","California","$642550"
"Schwartz Allyson (D-PA)","Pennsylvania","$641125"
"Tonko Paul (D-NY)","New York","$639468"
"Bonilla Henry (R-TX)","Texas","$636187"
"Bishop Timothy H (D-NY)","New York","$632190"
"Crenshaw Dan (R-TX)","Texas","$630743"
"Kucinich Dennis (I-OH)","Ohio","$630712"
"Ros-Lehtinen Ileana (R-FL)","Florida","$629498"
"Whitesides George (D-CA)","California","$628642"
"Wolf Frank (R-VA)","Virginia","$620920"
"Crist Charlie (D-FL)","Florida","$620571"
"Johnson Hank (D-GA)","Georgia","$618544"
"O'Halleran Tom (D-AZ)","Arizona","$613402"
"Cannon Chris (R-UT)","Utah","$610714"
"Bilbray Brian P (R-CA)","California","$610560"
"LaHood Darin (R-IL)","Illinois","$609811"
"Bass Charles (R-NH)","New Hampshire","$606655"
"Deutch Ted (D-FL)","Florida","$604992"
"Kennedy Patrick J (D-RI)","Rhode Island","$604963"
"Coble Howard (R-NC)","North Carolina","$604808"
"DeLauro Rosa (D-CT)","Connecticut","$604621"
"Johnson Tim (D-SD)","South Dakota","$601112"
"Kean Thomas H Jr (R-NJ)","New Jersey","$599367"
"Pappas Chris (D-NH)","New Hampshire","$598622"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$598356"
"Stupak Bart (D-MI)","Michigan","$597863"
"Wu David (D-OR)","Oregon","$591103"
"Cole Tom (R-OK)","Oklahoma","$586764"
"Royce Ed (R-CA)","California","$584547"
"Torres Ritchie (D-NY)","New York","$583105"
"Scholten Hillary (D-MI)","Michigan","$578746"
"Bustos Cheri (D-IL)","Illinois","$577988"
"Cisneros Gil (D-CA)","California","$574810"
"Caraveo Yadira (D-CO)","Colorado","$574499"
"Larson John (D-CT)","Connecticut","$573798"
"Womack Steve (R-AR)","Arkansas","$573277"
"Richmond Cedric (D-LA)","Louisiana","$573070"
"Lankford James (R-OK)","Oklahoma","$572270"
"Buck Ken (R-CO)","Colorado","$570451"
"Strickland Ted (D-OH)","Ohio","$569895"
"Suozzi Tom (D-NY)","New York","$569866"
"Cramer Bud (D-AL)","Alabama","$569033"
"Murphy Patrick J (D-PA)","Pennsylvania","$565858"
"Mullin Markwayne (R-OK)","Oklahoma","$564318"
"Pence Mike (R)","","$564205"
"Bourdeaux Carolyn (D-GA)","Georgia","$561731"
"Frelinghuysen Rodney (R-NJ)","New Jersey","$561075"
"Gerlach Jim (R-PA)","Pennsylvania","$560121"
"Lungren Dan (R-CA)","California","$560094"
"Dicks Norm (D-WA)","Washington","$559206"
"Chaffetz Jason (R-UT)","Utah","$557288"
"Dent Charlie (R-PA)","Pennsylvania","$556866"
"Shays Christopher (R-CT)","Connecticut","$555916"
"Walberg Tim (R-MI)","Michigan","$555773"
"Simpson Mike (R-ID)","Idaho","$552985"
"Kelly Mike (R-PA)","Pennsylvania","$551775"
"Hall Ralph (R-TX)","Texas","$550697"
"Price David (D-NC)","North Carolina","$548134"
"Sewell Terri (D-AL)","Alabama","$547944"
"Ferguson Mike (R-NJ)","New Jersey","$546067"
"Visclosky Pete (D-IN)","Indiana","$542708"
"Wittman Rob (R-VA)","Virginia","$541246"
"Thompson Mike (D-CA)","California","$540553"
"Hayes Jahana (D-CT)","Connecticut","$539990"
"Johnson Sam (R-TX)","Texas","$539305"
"Cooper Jim (D-TN)","Tennessee","$539135"
"Bachmann Michele (R-MN)","Minnesota","$538306"
"Cramer Kevin (R-ND)","North Dakota","$533956"
"Kennedy Mark (R-MN)","Minnesota","$533835"
"Pitts Joe (R-PA)","Pennsylvania","$533683"
"Bacon Donald John (R-NE)","Nebraska","$531250"
"Barragan Nanette (D-CA)","California","$530815"
"Min Dave (D-CA)","California","$530512"
"Waters Maxine (D-CA)","California","$528574"
"Kelly Robin (D-IL)","Illinois","$525316"
"Olson Pete (R-TX)","Texas","$525286"
"Northup Anne M (R-KY)","Kentucky","$524540"
"Blumenauer Earl (D-OR)","Oregon","$523652"
"Langevin Jim (D-RI)","Rhode Island","$521170"
"Holt Rush (D-NJ)","New Jersey","$520480"
"Foxx Virginia (R-NC)","North Carolina","$520080"
"Hall John (D-NY)","New York","$519438"
"Griffith Morgan (R-VA)","Virginia","$517076"
"Hill Baron (D-IN)","Indiana","$514654"
"Lance Leonard (R-NJ)","New Jersey","$513615"
"Levin Sander (D-MI)","Michigan","$513120"
"Young Don (R-AK)","Alaska","$510951"
"Vindman Yevgeny 'Eugene' (D-VA)","Virginia","$510808"
"Bonior David E (D-MI)","Michigan","$510621"
"Meek Kendrick B (D-FL)","Florida","$510578"
"Wynn Albert R (D-MD)","Maryland","$509895"
"Schakowsky Jan (D-IL)","Illinois","$508343"
"Myrick Sue (R-NC)","North Carolina","$506402"
"Kim Young (R-CA)","California","$505196"
"Valadao David (R-CA)","California","$504330"
"Bean Melissa (D-IL)","Illinois","$504309"
"Walters Mimi (R-CA)","California","$504056"
"Neguse Joseph (D-CO)","Colorado","$501126"
"Hensarling Jeb (R-TX)","Texas","$500518"
"Edwards Chet (D-TX)","Texas","$500248"
"Tauscher Ellen (D-CA)","California","$499101"
"Allen Tom H (D-ME)","Maine","$495660"
"Davis Rodney (R-IL)","Illinois","$489303"
"Takano Mark (D-CA)","California","$486812"
"Bush Cori (D-MO)","Missouri","$485337"
"Gray Adam (D-CA)","California","$485009"
"Costa Jim (D-CA)","California","$483845"
"Hodes Paul W (D-NH)","New Hampshire","$481644"
"King Pete (R-NY)","New York","$480677"
"Gonzalez Charlie A (D-TX)","Texas","$478883"
"Cohen Steve (D-TN)","Tennessee","$478481"
"Barr Andy (R-KY)","Kentucky","$478269"
"Grayson Alan (D-FL)","Florida","$477764"
"Joyce David P (R-OH)","Ohio","$474232"
"Reynolds Tom (R-NY)","New York","$471179"
"Smith Adrian (R-NE)","Nebraska","$471036"
"Bliley Thomas J Jr (R-VA)","Virginia","$467767"
"Beutler Jaime Herrera (R-WA)","Washington","$465499"
"McAdams Ben (D-UT)","Utah","$464565"
"Shaw E Clay Jr (R-FL)","Florida","$461683"
"Vasquez Gabe (D-NM)","New Mexico","$458364"
"Fazio Vic (D-CA)","California","$458089"
"Holding George (R-NC)","North Carolina","$457500"
"White Rick (R-WA)","Washington","$457444"
"Hyde Henry J (R-IL)","Illinois","$455524"
"Shadegg John (R-AZ)","Arizona","$454653"
"Meng Grace (D-NY)","New York","$454344"
"Gillen Laura (D-NY)","New York","$452699"
"Murphy Tim (R-PA)","Pennsylvania","$452450"
"Pingree Chellie (D-ME)","Maine","$451379"
"Stivers Steve (R-OH)","Ohio","$451274"
"Garcia Mike (R-CA)","California","$451181"
"Phillips Dean (D)","","$450642"
"Ferguson Drew (R-GA)","Georgia","$447636"
"Brindisi Anthony (D-NY)","New York","$447453"
"Pompeo Mike (R-KS)","Kansas","$446242"
"Wexler Robert (D-FL)","Florida","$446130"
"Schweikert David (R-AZ)","Arizona","$443039"
"Maffei Dan (D-NY)","New York","$442479"
"Slaughter Louise M (D-NY)","New York","$442071"
"Stanton Greg (D-AZ)","Arizona","$441803"
"Heck Joe (R-NV)","Nevada","$440793"
"Carter Buddy (R-GA)","Georgia","$439767"
"Pascrell Bill Jr (D-NJ)","New Jersey","$437699"
"Obernolte Jay (R-CA)","California","$435308"
"Kaptur Marcy (D-OH)","Ohio","$435302"
"Hinson Ashley (R-IA)","Iowa","$432311"
"Meehan Marty (D-MA)","Massachusetts","$430452"
"Burton Dan (R-IN)","Indiana","$429959"
"Emerson Jo Ann (R-MO)","Missouri","$429397"
"Braley Bruce (D-IA)","Iowa","$428622"
"Buyer Steve (R-IN)","Indiana","$428283"
"Katko John (R-NY)","New York","$428272"
"Rehberg Denny (R-MT)","Montana","$427652"
"McCollum Bill (R-FL)","Florida","$427140"
"Cunningham Joe (D-SC)","South Carolina","$426292"
"Armstrong Kelly (R-ND)","North Dakota","$425760"
"Ross Mike (D-AR)","Arkansas","$424500"
"Shuster Bill (R-PA)","Pennsylvania","$423680"
"Meehan Patrick (R-PA)","Pennsylvania","$422645"
"Cox Christopher (R-CA)","California","$422481"
"Panetta Jimmy (D-CA)","California","$421044"
"Thornberry Mac (R-TX)","Texas","$420640"
"Linder John (R-GA)","Georgia","$417482"
"Ackerman Gary (D-NY)","New York","$414425"
"Mollohan Alan B (D-WV)","West Virginia","$414030"
"Boustany Charles Jr (R-LA)","Louisiana","$413901"
"Murphy Stephanie (D-FL)","Florida","$412089"
"Zimmer Dick (R-NJ)","New Jersey","$410600"
"Cummings Elijah E (D-MD)","Maryland","$410409"
"Garrett Scott (R-NJ)","New Jersey","$410098"
"Quigley Mike (D-IL)","Illinois","$409263"
"Johnson Nancy L (R-CT)","Connecticut","$407396"
"Graves Garret (R-LA)","Louisiana","$405370"
"Tsongas Niki (D-MA)","Massachusetts","$405357"
"Bunning Jim (R-KY)","Kentucky","$404970"
"Nethercutt George R Jr (R-WA)","Washington","$404106"
"Marino Tom (R-PA)","Pennsylvania","$403824"
"Kildee Dan (D-MI)","Michigan","$401561"
"Lewis Jason (R-MN)","Minnesota","$401015"
"Bynum Janelle (D-OR)","Oregon","$400547"
"Watt Melvin L (D-NC)","North Carolina","$400104"
"Morella Connie (R-MD)","Maryland","$399833"
"Biggert Judy (R-IL)","Illinois","$396700"
"Hill French (R-AR)","Arkansas","$396408"
"Rogan James E (R-CA)","California","$395273"
"Allard Wayne (R-CO)","Colorado","$394319"
"Hobson Dave (R-OH)","Ohio","$392013"
"Price Tom (R-GA)","Georgia","$390941"
"Salinas Andrea (D-OR)","Oregon","$390214"
"Bonamici Suzanne (D-OR)","Oregon","$389121"
"Pryce Deborah (R-OH)","Ohio","$388378"
"Moore Dennis (D-KS)","Kansas","$387478"
"Castro Joaquin (D-TX)","Texas","$386477"
"Brooks Susan (R-IN)","Indiana","$386165"
"Conaway Mike (R-TX)","Texas","$385041"
"Luther Bill (D-MN)","Minnesota","$383605"
"Campbell Ben Nighthorse (R-CO)","Colorado","$383000"
"Gingrey Phil (R-GA)","Georgia","$382569"
"Steel Michelle (R-CA)","California","$381792"
"Weller Jerry (R-IL)","Illinois","$381626"
"Frost Maxwell (D-FL)","Florida","$381264"
"Soto Darren (D-FL)","Florida","$378505"
"Steil Bryan (R-WI)","Wisconsin","$377347"
"McGovern James P (D-MA)","Massachusetts","$376458"
"Cubin Barbara (R-WY)","Wyoming","$376452"
"Flores Bill (R-TX)","Texas","$375505"
"Lucas Frank D (R-OK)","Oklahoma","$375320"
"Gutknecht Gil (R-MN)","Minnesota","$374830"
"Esty Elizabeth (D-CT)","Connecticut","$374683"
"Dunn Jennifer (R-WA)","Washington","$374341"
"Graves Tom (R-GA)","Georgia","$374260"
"Matsui Robert T (D-CA)","California","$372367"
"Zinke Ryan (R-MT)","Montana","$370815"
"Capuano Michael E (D-MA)","Massachusetts","$370371"
"Scott David (D-GA)","Georgia","$370350"
"Sullivan John (R-OK)","Oklahoma","$369047"
"Deal Nathan (R-GA)","Georgia","$368646"
"Armey Dick (R-TX)","Texas","$367729"
"Kingston Jack (R-GA)","Georgia","$367722"
"Forbes Randy (R-VA)","Virginia","$367698"
"Fossella Vito (R-NY)","New York","$365844"
"Keller Ric (R-FL)","Florida","$365598"
"Andrews Robert E (D-NJ)","New Jersey","$365109"
"Van Duyne Beth (R-TX)","Texas","$364901"
"Coburn Tom (R-OK)","Oklahoma","$364140"
"Thompson Glenn (R-PA)","Pennsylvania","$363876"
"Bachus Spencer (R-AL)","Alabama","$362374"
"Jackson Lee Sheila (D-TX)","Texas","$361626"
"Polis Jared (D-CO)","Colorado","$361458"
"Denham Jeff (R-CA)","California","$361335"
"Luetkemeyer Blaine (R-MO)","Missouri","$360740"
"Yarmuth John (D-KY)","Kentucky","$358690"
"Duncan Jeff (R-SC)","South Carolina","$357456"
"Stauber Pete (R-MN)","Minnesota","$357381"
"Sorensen Eric (D-IL)","Illinois","$356643"
"Gomez Jimmy (D-CA)","California","$355110"
"Garcia Joe (D-FL)","Florida","$354503"
"Garamendi John (D-CA)","California","$354093"
"Culberson John (R-TX)","Texas","$351598"
"Weiner Anthony D (D-NY)","New York","$351560"
"McCollum Betty (D-MN)","Minnesota","$351362"
"Speier Jackie (D-CA)","California","$349723"
"Mace Nancy (R-SC)","South Carolina","$348529"
"Rothfus Keith J (R-PA)","Pennsylvania","$348494"
"Dold Bob (R-IL)","Illinois","$347100"
