"Representative","State","Amount"
"Case Ed (D-HI)","Hawaii","$331496"
"Levin Sander (D-MI)","Michigan","$331000"
"Hall Ralph (R-TX)","Texas","$328509"
"Roberts Pat (R-KS)","Kansas","$326525"
"Joyce David P (R-OH)","Ohio","$324953"
"Bishop Rob (R-UT)","Utah","$324500"
"Rooney Tom (R-FL)","Florida","$323550"
"Valadao David (R-CA)","California","$323261"
"Slaughter Louise M (D-NY)","New York","$322219"
"Sherman Brad (D-CA)","California","$321825"
"Meehan Marty (D-MA)","Massachusetts","$319714"
"Drake Thelma (R-VA)","Virginia","$318858"
"Wexton Jennifer (D-VA)","Virginia","$317797"
"Boyd Allen (D-FL)","Florida","$316678"
"Smith Lamar (R-TX)","Texas","$316194"
"Perlmutter Ed (D-CO)","Colorado","$313921"
"Himes Jim (D-CT)","Connecticut","$313470"
"Donnelly Joe (D-IN)","Indiana","$312086"
"Obey David R (D-WI)","Wisconsin","$312040"
"Graves Tom (R-GA)","Georgia","$311400"
"Rosen Jacky (D-NV)","Nevada","$310026"
"Royce Ed (R-CA)","California","$309585"
"Brady Kevin (R-TX)","Texas","$305650"
"Keating Bill (D-MA)","Massachusetts","$305033"
"Young Todd (R-IN)","Indiana","$304265"
"Blackburn Marsha (R-TN)","Tennessee","$303163"
"Kiggans Jen (R-VA)","Virginia","$302135"
"Crist Charlie (D-FL)","Florida","$301922"
"Luria Elaine (D-VA)","Virginia","$301202"
"Schultz Debbie Wasserman (D-FL)","Florida","$300350"
"Giffords Gabrielle (D-AZ)","Arizona","$299974"
"Knight Steve (R-CA)","California","$298825"
"McHugh John M (R-NY)","New York","$298550"
"Baldwin Tammy (D-WI)","Wisconsin","$297045"
"Simmons Rob (R-CT)","Connecticut","$296165"
"Slotkin Elissa (D-MI)","Michigan","$295785"
"Sisisky Norman (D-VA)","Virginia","$295225"
"Kinzinger Adam (R-IL)","Illinois","$294792"
"Scott Bobby (D-VA)","Virginia","$294395"
"Eshoo Anna (D-CA)","California","$292600"
"Johnson Nancy L (R-CT)","Connecticut","$290342"
"Cotton Tom (R-AR)","Arkansas","$289757"
"Bonner Jo (R-AL)","Alabama","$288639"
"Murphy Patrick J (D-PA)","Pennsylvania","$288200"
"Walsh James T (R-NY)","New York","$287300"
"Portman Rob (R-OH)","Ohio","$286065"
"Houlahan Chrissy (D-PA)","Pennsylvania","$285561"
"Gephardt Richard A (D)","","$284075"
"Sinema Kyrsten (I-AZ)","Arizona","$283270"
"Wenstrup Brad (R-OH)","Ohio","$281706"
"Stump Bob (R-AZ)","Arizona","$280898"
"Hefner W G (Bill) (D-NC)","North Carolina","$279650"
"Menendez Robert (I-NJ)","New Jersey","$278601"
"Taylor Scott (R-VA)","Virginia","$278206"
"McHenry Patrick (R-NC)","North Carolina","$277800"
"Carbajal Salud (D-CA)","California","$277275"
"Nethercutt George R Jr (R-WA)","Washington","$277181"
"DeWine Mike (R-OH)","Ohio","$277050"
"Boozman John (R-AR)","Arkansas","$276828"
"Clark Katherine (D-MA)","Massachusetts","$273217"
"McIntyre Mike (D-NC)","North Carolina","$272997"
"Panetta Jimmy (D-CA)","California","$272775"
"Cheney Liz (R-WY)","Wyoming","$269877"
"Cook Paul (R-CA)","California","$268400"
"Hayes Robin (R-NC)","North Carolina","$267800"
"Reed Tom (R-NY)","New York","$266430"
"Markey Ed (D-MA)","Massachusetts","$263192"
"DeLay Tom (R-TX)","Texas","$261725"
"Carson Andre (D-IN)","Indiana","$260834"
"Cantwell Maria (D-WA)","Washington","$257096"
"Thompson Mike (D-CA)","California","$255060"
"Carl Jerry (R-AL)","Alabama","$253847"
"Loebsack David (D-IA)","Iowa","$253830"
"Rothman Steven R (D-NJ)","New Jersey","$253750"
"Davis Jo Ann (R-VA)","Virginia","$253350"
"Sabo Martin Olav (D-MN)","Minnesota","$253260"
"Smith Bob (R-NH)","New Hampshire","$253040"
"Tiberi Pat (R-OH)","Ohio","$252950"
"Capito Shelley Moore (R-WV)","West Virginia","$252302"
"Gardner Cory (R-CO)","Colorado","$251118"
"Jolly David (R-FL)","Florida","$249575"
"Wagner Ann (R-MO)","Missouri","$249015"
"Kuster Ann (D-NH)","New Hampshire","$247052"
"Amodei Mark (R-NV)","Nevada","$245600"
"Newhouse Dan (R-WA)","Washington","$244623"
"Crowley Joseph (D-NY)","New York","$244014"
"Manzullo Don (R-IL)","Illinois","$243050"
"Hinchey Maurice (D-NY)","New York","$242300"
"Murphy Christopher S (D-CT)","Connecticut","$238457"
"Daines Steven (R-MT)","Montana","$238026"
"Hansen James V (R-UT)","Utah","$237949"
"Gabbard Tulsi (D-HI)","Hawaii","$237853"
"Meeks Gregory (D-NY)","New York","$237400"
"Young Don (R-AK)","Alaska","$237389"
"Harris Andy (R-MD)","Maryland","$237276"
"Jeffries Hakeem (D-NY)","New York","$235832"
"Vitter David (R-LA)","Louisiana","$235291"
"Foster Bill (D-IL)","Illinois","$234289"
"Beutler Jaime Herrera (R-WA)","Washington","$234196"
"Latham Tom (R-IA)","Iowa","$231456"
"Lankford James (R-OK)","Oklahoma","$231150"
"Schrock Ed (R-VA)","Virginia","$230949"
"Ros-Lehtinen Ileana (R-FL)","Florida","$226580"
"Bera Ami (D-CA)","California","$226334"
"Gingrich Newt (R)","","$224783"
"Katko John (R-NY)","New York","$224664"
"Davis Geoff (R-KY)","Kentucky","$224250"
"Lujan Ben Ray (D-NM)","New Mexico","$223612"
"Tauscher Ellen (D-CA)","California","$223230"
"Hanabusa Colleen (D-HI)","Hawaii","$223135"
"Walden Greg (R-OR)","Oregon","$220751"
"Yoder Kevin (R-KS)","Kansas","$220100"
"Isakson Johnny (R-GA)","Georgia","$218100"
"Wamp Zach (R-TN)","Tennessee","$216596"
"Lungren Dan (R-CA)","California","$216100"
"Gibbons Jim (R-NV)","Nevada","$215099"
"Upton Fred (R-MI)","Michigan","$214694"
"Williams Roger (R-TX)","Texas","$214538"
"Swalwell Eric (D-CA)","California","$213492"
"Dreier David (R-CA)","California","$212901"
"Lucas Frank D (R-OK)","Oklahoma","$212000"
"Roskam Peter (R-IL)","Illinois","$210070"
"Boustany Charles Jr (R-LA)","Louisiana","$209400"
"Bass Charles (R-NH)","New Hampshire","$207452"
"O'Rourke Beto (D)","","$207210"
"Stabenow Debbie (D-MI)","Michigan","$206678"
"Murphy Stephanie (D-FL)","Florida","$206409"
"Fazio Vic (D-CA)","California","$205466"
"Snowe Olympia (R-ME)","Maine","$205368"
"Cramer Kevin (R-ND)","North Dakota","$205356"
"Morelle Joseph D (D-NY)","New York","$204955"
"Gibson Chris (R-NY)","New York","$204898"
"Bradley Jeb (R-NH)","New Hampshire","$204741"
"Marshall Jim (D-GA)","Georgia","$204650"
"Honda Mike (D-CA)","California","$203333"
"Kind Ron (D-WI)","Wisconsin","$203013"
"Engel Eliot (D-NY)","New York","$201546"
"Maloney Jim (D-CT)","Connecticut","$201455"
"Torricelli Robert G (D-NJ)","New Jersey","$201050"
"Reichert Dave (R-WA)","Washington","$200550"
"Gordon Bart (D-TN)","Tennessee","$199150"
"Hurd Will (R)","","$198818"
"Allred Colin (D-TX)","Texas","$198418"
"DelBene Suzan (D-WA)","Washington","$197999"
"Escobar Veronica (D-TX)","Texas","$195634"
"Austria Steve (R-OH)","Ohio","$195610"
"Quigley Mike (D-IL)","Illinois","$194500"
"Moolenaar John (R-MI)","Michigan","$194220"
"Chabot Steve (R-OH)","Ohio","$193544"
"Dorgan Byron L (D-ND)","North Dakota","$193408"
"Fortenberry Jeff (R-NE)","Nebraska","$193045"
"Pompeo Mike (R-KS)","Kansas","$191515"
"Stivers Steve (R-OH)","Ohio","$191304"
"Gingrey Phil (R-GA)","Georgia","$191299"
"Hastert Dennis (R-IL)","Illinois","$191225"
"Harper Gregg (R-MS)","Mississippi","$190700"
"Skeen Joe (R-NM)","New Mexico","$190571"
"Rodriguez Ciro D (D-TX)","Texas","$190467"
"Olson Pete (R-TX)","Texas","$190440"
"Crapo Mike (R-ID)","Idaho","$190300"
"Paulsen Erik (R-MN)","Minnesota","$189945"
"Butterfield G K (D-NC)","North Carolina","$188510"
"Carter Buddy (R-GA)","Georgia","$186738"
"McKinley David (R-WV)","West Virginia","$185850"
"Northup Anne M (R-KY)","Kentucky","$185800"
"Demings Val (D-FL)","Florida","$184748"
"Vargas Juan (D-CA)","California","$184210"
"Suozzi Tom (D-NY)","New York","$183895"
"McGovern James P (D-MA)","Massachusetts","$183883"
"Heller Dean (R-NV)","Nevada","$183780"
"MacArthur Thomas (R-NJ)","New Jersey","$183350"
"Horsford Steven (D-NV)","Nevada","$182457"
"Bustos Cheri (D-IL)","Illinois","$181371"
"James John (R-MI)","Michigan","$180926"
"Riley Bob (R-AL)","Alabama","$180233"
"Pingree Chellie (D-ME)","Maine","$180015"
"Goode Virgil (3)","","$179226"
"DeSantis Ron (R)","","$178923"
"Meehan Patrick (R-PA)","Pennsylvania","$178350"
"Runyan Jon (R-NJ)","New Jersey","$177598"
"Kolbe Jim (R-AZ)","Arizona","$176949"
"Morella Connie (R-MD)","Maryland","$175825"
"Dingell John D (D-MI)","Michigan","$175750"
"Emmer Tom (R-MN)","Minnesota","$175392"
"Olver John W (D-MA)","Massachusetts","$174800"
"Maffei Dan (D-NY)","New York","$174500"
"Toomey Pat (R-PA)","Pennsylvania","$174177"
"Castro Joaquin (D-TX)","Texas","$173377"
"Camp Dave (R-MI)","Michigan","$172820"
"Bice Stephanie (R-OK)","Oklahoma","$172652"
"Knollenberg Joe (R-MI)","Michigan","$172594"
"Lieu Ted (D-CA)","California","$172506"
"Sherwood Don (R-PA)","Pennsylvania","$172325"
"Berman Howard L (D-CA)","California","$172210"
"Cassidy Bill (R-LA)","Louisiana","$171788"
"Krishnamoorthi Raja (D-IL)","Illinois","$171622"
"Bridenstine James (R-OK)","Oklahoma","$171000"
"Ryun Jim (R-KS)","Kansas","$170400"
"Johnson Eddie Bernice (D-TX)","Texas","$169598"
"Hinson Ashley (R-IA)","Iowa","$169408"
"Bonamici Suzanne (D-OR)","Oregon","$169071"
"Darden Buddy (D-GA)","Georgia","$169050"
"Gallegly Elton (R-CA)","California","$169043"
"Bilirakis Gus (R-FL)","Florida","$168755"
"Dickinson William Louis (R-AL)","Alabama","$168340"
"Nye Glenn (D-VA)","Virginia","$168250"
"Pickett Owen B (D-VA)","Virginia","$167000"
"Dent Charlie (R-PA)","Pennsylvania","$166700"
"Franklin Scott (R-FL)","Florida","$166647"
"Ciscomani Juan (R-AZ)","Arizona","$165748"
"Sununu John E (R-NH)","New Hampshire","$165381"
"Owens Bill (D-NY)","New York","$165024"
"Smith Jason (R-MO)","Missouri","$164510"
"Becerra Xavier (D-CA)","California","$164110"
"McClain Lisa (R-MI)","Michigan","$163046"
"Allard Wayne (R-CO)","Colorado","$162350"
"Kennedy Joe III (D-MA)","Massachusetts","$162309"
"Packard Ron (R-CA)","California","$162096"
"Babin Brian (R-TX)","Texas","$161187"
"Kirkpatrick Ann (D-AZ)","Arizona","$160558"
"Schweikert David (R-AZ)","Arizona","$160392"
"Zinke Ryan (R-MT)","Montana","$159474"
"Rehberg Denny (R-MT)","Montana","$159230"
"Brown George E Jr (D-CA)","California","$158812"
"Roybal-Allard Lucille (D-CA)","California","$158200"
"Barrow John (D-GA)","Georgia","$158000"
"Graves Garret (R-LA)","Louisiana","$157350"
"Richmond Cedric (D-LA)","Louisiana","$157250"
"Johnson Hank (D-GA)","Georgia","$156557"
"Kasich John (R)","","$156320"
"Heck Dennis (D-WA)","Washington","$156250"
"Hefley Joel (R-CO)","Colorado","$156100"
"Gaetz Matt (R-FL)","Florida","$155393"
"Hastings Doc (R-WA)","Washington","$155150"
"Letlow Julia (R-LA)","Louisiana","$155074"
"Terry Lee (R-NE)","Nebraska","$154687"
"Ensign John (R-NV)","Nevada","$154543"
"Emerson Jo Ann (R-MO)","Missouri","$153693"
"Marchant Kenny (R-TX)","Texas","$153393"
"Frankel Lois (D-FL)","Florida","$153283"
"Smith Adrian (R-NE)","Nebraska","$152226"
"Pickering Charles (Chip) Jr (R-MS)","Mississippi","$152121"
"Matsui Doris (D-CA)","California","$151673"
"Griffith Parker (R-AL)","Alabama","$150790"
"Rohrabacher Dana (R-CA)","California","$150258"
"Bordallo Madeleine Z (D-GU)","Guam","$149500"
"Buyer Steve (R-IN)","Indiana","$149261"
"Hoekstra Peter (R-MI)","Michigan","$149180"
"Crenshaw Dan (R-TX)","Texas","$148817"
"Wyden Ron (D-OR)","Oregon","$148488"
"Meek Kendrick B (D-FL)","Florida","$148079"
"Doyle Mike (D-PA)","Pennsylvania","$147250"
"Shimkus John (R-IL)","Illinois","$146750"
"Russell Steven (R-OK)","Oklahoma","$146300"
"Gonzales Tony (R-TX)","Texas","$145945"
"Ray Richard (D-GA)","Georgia","$144950"
"Reynolds Tom (R-NY)","New York","$144924"
"Burgess Michael (R-TX)","Texas","$144535"
"Watts J C Jr (R-OK)","Oklahoma","$144400"
"LaHood Darin (R-IL)","Illinois","$143879"
"Cleaver Emanuel (D-MO)","Missouri","$143300"
"Holden Tim (D-PA)","Pennsylvania","$143287"
"Lee Susie (D-NV)","Nevada","$142723"
"Carper Tom (D-DE)","Delaware","$142358"
"Gejdenson Sam (D-CT)","Connecticut","$141700"
"Lancaster Harold Martin (D-NC)","North Carolina","$140850"
"Tanner John (D-TN)","Tennessee","$140400"
"Fleming John (R-LA)","Louisiana","$139400"
"Guthrie Brett (R-KY)","Kentucky","$138004"
"Higgins Brian M (D-NY)","New York","$137850"
"Barber Ron (D-AZ)","Arizona","$136928"
"Guest Michael (R-MS)","Mississippi","$136602"
"McCrery Jim (R-LA)","Louisiana","$136550"
"Tonko Paul (D-NY)","New York","$135290"
"Armey Dick (R-TX)","Texas","$135133"
"Hayworth J D (R-AZ)","Arizona","$134604"
"Griffith Morgan (R-VA)","Virginia","$134016"
"Lofgren Zoe (D-CA)","California","$133978"
"Moakley Joe (D-MA)","Massachusetts","$133850"
"McNerney Jerry (D-CA)","California","$133520"
"Pearce Steve (R-NM)","New Mexico","$132930"
"Brownley Julia (D-CA)","California","$132928"
"West Allen (R-FL)","Florida","$132689"
"Johnson Bill (R-OH)","Ohio","$132325"
"Geren Pete (D-TX)","Texas","$131855"
"Fitzpatrick Michael G (R-PA)","Pennsylvania","$130263"
"Bishop Timothy H (D-NY)","New York","$130000"
"Noem Kristi (R-SD)","South Dakota","$130000"
"Dunn Jennifer (R-WA)","Washington","$129700"
"Rangel Charles B (D-NY)","New York","$128500"
"Sanchez Linda (D-CA)","California","$128500"
"Mace Nancy (R-SC)","South Carolina","$127060"
"Estes Ron (R-KS)","Kansas","$125704"
"Tierney John F (D-MA)","Massachusetts","$125400"
"Barr Andy (R-KY)","Kentucky","$124976"
"Flores Bill (R-TX)","Texas","$124250"
"Lewis John (D-GA)","Georgia","$124204"
"Bunning Jim (R-KY)","Kentucky","$123900"
"Holt Rush (D-NJ)","New Jersey","$122700"
"Duncan Jeff (R-SC)","South Carolina","$122566"
"Hochbrueckner George J (D-NY)","New York","$122468"
"Hensarling Jeb (R-TX)","Texas","$121950"
"Cummings Elijah E (D-MD)","Maryland","$121835"
"Kelly Mike (R-PA)","Pennsylvania","$121503"
"Ross Mike (D-AR)","Arkansas","$121250"
"Davis Robert William (R-MI)","Michigan","$121225"
"Lazio Rick A (R-NY)","New York","$120663"
"Moore Blake (R-UT)","Utah","$120555"
"Young David (R-IA)","Iowa","$120333"
"Huizenga Bill (R-MI)","Michigan","$120178"
"Berkley Shelley (D-NV)","Nevada","$119890"
"Lincoln Blanche (D-AR)","Arkansas","$119800"
"Goodlatte Bob (R-VA)","Virginia","$119120"
"Dunn Neal (R-FL)","Florida","$118974"
"Boucher Rick (D-VA)","Virginia","$117450"
"Sensenbrenner Jim (R-WI)","Wisconsin","$117000"
"Brownback Sam (R)","","$116890"
"Lloyd Marilyn L (D-TN)","Tennessee","$116550"
"Udall Tom (D-NM)","New Mexico","$116112"
"Salmon Matt (R-AZ)","Arizona","$114490"
"Jordan Jim (R-OH)","Ohio","$114157"
"Napolitano Grace (D-CA)","California","$113675"
"Cox Christopher (R-CA)","California","$113644"
"Long Billy (R-MO)","Missouri","$113400"
"Ocasio-Cortez Alexandria (D-NY)","New York","$113387"
"Castor Kathy (D-FL)","Florida","$113168"
"Jenkins Lynn (R-KS)","Kansas","$112750"
"Clarke Yvette (D-NY)","New York","$112500"
"Jackson Ronny (R-TX)","Texas","$112415"
"McEachin Donald (D-VA)","Virginia","$112297"
"Brady Robert A (D-PA)","Pennsylvania","$112250"
"Mast Brian (R-FL)","Florida","$112074"
"Ellsworth Brad (D-IN)","Indiana","$111950"
"Schneider Brad (D-IL)","Illinois","$111905"
"Burton Dan (R-IN)","Indiana","$111750"
"Feeney Tom (R-FL)","Florida","$111700"
"McCollum Bill (R-FL)","Florida","$111650"
"DeFazio Peter (D-OR)","Oregon","$111370"
"Oxley Michael G (R-OH)","Ohio","$111300"
"Ackerman Gary (D-NY)","New York","$111275"
"Turner Jim (D-TX)","Texas","$111250"
"Ratcliffe John (R-TX)","Texas","$110625"
"Tenney Claudia (R-NY)","New York","$110367"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$110286"
"Hill French (R-AR)","Arkansas","$110159"
"Moore Gwen (D-WI)","Wisconsin","$110107"
"Bishop Mike (R-MI)","Michigan","$110095"
"Chaffetz Jason (R-UT)","Utah","$110000"
"Chapman Jim (D-TX)","Texas","$109149"
"Reschenthaler Guy (R-PA)","Pennsylvania","$108737"
"Price Tom (R-GA)","Georgia","$108500"
"Gerlach Jim (R-PA)","Pennsylvania","$107783"
"Crane Phil (R-IL)","Illinois","$107450"
"Dold Bob (R-IL)","Illinois","$107410"
"Budd Ted (R-NC)","North Carolina","$107313"
"Ellzey Jake (R-TX)","Texas","$107114"
"Fattah Chaka (D-PA)","Pennsylvania","$107000"
"Kratovil Frank (D-MD)","Maryland","$106250"
"Luetkemeyer Blaine (R-MO)","Missouri","$106160"
"Byron Beverly B (D-MD)","Maryland","$106130"
"Mineta Norman Y (D-CA)","California","$106004"
"Dingell Debbie (D-MI)","Michigan","$105934"
"Inslee Jay (D)","","$105878"
"Clay William L Jr (D-MO)","Missouri","$105860"
"Brooks Susan (R-IN)","Indiana","$105500"
"Mucarsel-Powell Debbie (D-FL)","Florida","$105389"
"Kuykendall Steven T (R-CA)","California","$105200"
