"Senator","State","Amount"
"Collins Susan M (R-ME)","Maine","$744816"
"Lee Mike (R-UT)","Utah","$740240"
"Heller Dean (R-NV)","Nevada","$736240"
"Lummis Cynthia (R-WY)","Wyoming","$702471"
"Heitkamp Heidi (D-ND)","North Dakota","$656726"
"Corker Bob (R-TN)","Tennessee","$654116"
"Brown Scott (R-NH)","New Hampshire","$653173"
"Burns Conrad (R-MT)","Montana","$636810"
"Ayotte Kelly (R-NH)","New Hampshire","$632236"
"Stevens Ted (R-AK)","Alaska","$623866"
"Alexander Lamar (R-TN)","Tennessee","$613661"
"Ernst Joni (R-IA)","Iowa","$606995"
"Fischer Deb (R-NE)","Nebraska","$605108"
"Paul Rand (R-KY)","Kentucky","$604099"
"Coburn Tom (R-OK)","Oklahoma","$597157"
"Grassley Chuck (R-IA)","Iowa","$589370"
"McCormick Dave (R-PA)","Pennsylvania","$584098"
"Specter Arlen (D-PA)","Pennsylvania","$581678"
"Boozman John (R-AR)","Arkansas","$576176"
"Scott Rick (R-FL)","Florida","$546930"
"Bennet Michael (D-CO)","Colorado","$543964"
"Enzi Mike (R-WY)","Wyoming","$539483"
"Cochran Thad (R-MS)","Mississippi","$525615"
"Breaux John (D-LA)","Louisiana","$523671"
"Hawley Josh (R-MO)","Missouri","$519362"
"Thomas Craig (R-WY)","Wyoming","$509540"
"Bond Christopher ""Kit"" (R-MO)","Missouri","$501492"
"Thompson Fred (R)","","$498143"
"DeWine Mike (R-OH)","Ohio","$491292"
"Bingaman Jeff (D-NM)","New Mexico","$489265"
"Schumer Charles E (D-NY)","New York","$483734"
"Kerry John (D-MA)","Massachusetts","$482715"
"Sanders Bernie (I-VT)","Vermont","$481575"
"Dole Elizabeth (R-NC)","North Carolina","$459975"
"Baucus Max (D-MT)","Montana","$456915"
"Shelby Richard C (R-AL)","Alabama","$453198"
"Allard Wayne (R-CO)","Colorado","$451130"
"Moreno Bernie (R-OH)","Ohio","$445823"
"Udall Mark (D-CO)","Colorado","$443759"
"Curtis John (R-UT)","Utah","$441638"
"Begich Mark (D-AK)","Alaska","$436105"
"Brownback Sam (R)","","$432339"
"Isakson Johnny (R-GA)","Georgia","$431953"
"Warnock Raphael (D-GA)","Georgia","$430500"
"Pryor Mark (D-AR)","Arkansas","$413229"
"Sessions Jeff (R-AL)","Alabama","$412605"
"Coats Dan (R-IN)","Indiana","$410231"
"Abraham Spencer (R-MI)","Michigan","$409448"
"Lott Trent (R-MS)","Mississippi","$408758"
"Chambliss Saxby (R-GA)","Georgia","$407616"
"Ensign John (R-NV)","Nevada","$405874"
"Hyde-Smith Cindy (R-MS)","Mississippi","$405084"
"Reid Harry (D-NV)","Nevada","$402236"
"Smith Gordon H (R-OR)","Oregon","$397175"
"Murkowski Frank H (R-AK)","Alaska","$396449"
"Bennett Robert F (R-UT)","Utah","$394165"
"Talent James M (R-MO)","Missouri","$393798"
"Krueger Robert (Bob) (D-TX)","Texas","$392712"
"Udall Tom (D-NM)","New Mexico","$387777"
"Coleman Norm (R-MN)","Minnesota","$387055"
"D'Amato Alfonse M (R-NY)","New York","$384959"
"Voinovich George V (R-OH)","Ohio","$384715"
"Risch James E (R-ID)","Idaho","$382394"
"Craig Larry (R-ID)","Idaho","$381296"
"Kyl Jon (R-AZ)","Arizona","$374372"
"Campbell Ben Nighthorse (R-CO)","Colorado","$371784"
"Wyden Ron (D-OR)","Oregon","$367351"
"Kirk Mark (R-IL)","Illinois","$364311"
"Rockefeller Jay (D-WV)","West Virginia","$361875"
"Johnston J Bennett (D-LA)","Louisiana","$361400"
"Casey Bob (D-PA)","Pennsylvania","$361084"
"Marshall Roger (R-KS)","Kansas","$350173"
"Tester Jon (D-MT)","Montana","$344194"
"Bunning Jim (R-KY)","Kentucky","$336956"
"Vance J D (R-OH)","Ohio","$335065"
"Conrad Kent (D-ND)","North Dakota","$333203"
"Sununu John E (R-NH)","New Hampshire","$332980"
"Rounds Mike (R-SD)","South Dakota","$331653"
"Flake Jeff (R-AZ)","Arizona","$316410"
"Budd Ted (R-NC)","North Carolina","$309275"
"Sinema Kyrsten (I-AZ)","Arizona","$298198"
"Warner Mark (D-VA)","Virginia","$297739"
"Menendez Robert (I-NJ)","New Jersey","$296324"
"Ricketts Pete (R-NE)","Nebraska","$293842"
"Sasse Ben (R-NE)","Nebraska","$292105"
"Ashcroft John (R-MO)","Missouri","$285279"
"Justice Jim (R-WV)","West Virginia","$283763"
"Banks Jim (R-IN)","Indiana","$283551"
"Kelly Mark (D-AZ)","Arizona","$279421"
"DeMint Jim (R-SC)","South Carolina","$278321"
"Hutchinson Tim (R-AR)","Arkansas","$273694"
"Nelson Ben (D-NE)","Nebraska","$271505"
"Boren David Lyle (D-OK)","Oklahoma","$268909"
"Feinstein Dianne (D-CA)","California","$264855"
"Brown Sherrod (D-OH)","Ohio","$258110"
"Faircloth Lauch (R-NC)","North Carolina","$255385"
"Ossoff Jon (D-GA)","Georgia","$250124"
"Coverdell Paul (R-GA)","Georgia","$249475"
"Warren Elizabeth (D-MA)","Massachusetts","$240282"
"Warner John W (R-VA)","Virginia","$235935"
"Braun Mike (R-IN)","Indiana","$233067"
"Heinrich Martin (D-NM)","New Mexico","$227630"
"Lugar Richard G (R-IN)","Indiana","$224950"
"Gorton Slade (R-WA)","Washington","$224485"
"Britt Katie Boyd (R-AL)","Alabama","$218453"
"Hagerty Bill (R-TN)","Tennessee","$218242"
"Bayh Evan (D-IN)","Indiana","$216930"
"Kaine Tim (D-VA)","Virginia","$209429"
"Lieberman Joe (D-CT)","Connecticut","$208950"
"Daschle Tom (D-SD)","South Dakota","$208691"
"Boschwitz Rudy (R-MN)","Minnesota","$207973"
"Dorgan Byron L (D-ND)","North Dakota","$206268"
"Hagel Chuck (R-NE)","Nebraska","$202081"
"McCaskill Claire (D-MO)","Missouri","$201021"
"Harkin Tom (D-IA)","Iowa","$200850"
"Grams Rod (R-MN)","Minnesota","$198970"
"Martinez Mel (R-FL)","Florida","$196306"
"Snowe Olympia (R-ME)","Maine","$182108"
"Frist Bill (R-TN)","Tennessee","$180700"
"Bradley Bill (D)","","$179242"
"Seymour John F (R-CA)","California","$178698"
"Gore Al (D)","","$178239"
"Smith Bob (R-NH)","New Hampshire","$176135"
"Brown Hank (R-CO)","Colorado","$175948"
"Hickenlooper John (D-CO)","Colorado","$170006"
"Markey Ed (D-MA)","Massachusetts","$166904"
"Nelson Bill (D-FL)","Florida","$166184"
"Klobuchar Amy (D-MN)","Minnesota","$165439"
"Schmitt Eric (R-MO)","Missouri","$162823"
"Gillibrand Kirsten (D-NY)","New York","$162293"
"Salazar Ken (D-CO)","Colorado","$161180"
"Kennedy Edward M (D-MA)","Massachusetts","$160247"
"Tuberville Tommy (R-AL)","Alabama","$159225"
"Roth William V Jr (R-DE)","Delaware","$157976"
"Lujan Ben Ray (D-NM)","New Mexico","$157124"
"Hollings Fritz (D-SC)","South Carolina","$155486"
"Torricelli Robert G (D-NJ)","New Jersey","$154313"
"Johnson Tim (D-SD)","South Dakota","$152856"
"Rosen Jacky (D-NV)","Nevada","$152311"
"Pressler Larry (I-SD)","South Dakota","$149940"
"Heflin Howell (D-AL)","Alabama","$147865"
"Durbin Dick (D-IL)","Illinois","$145472"
"Carper Tom (D-DE)","Delaware","$144863"
"Dodd Chris (D-CT)","Connecticut","$144783"
"Robb Charles S (D-VA)","Virginia","$144475"
"Welch Peter (D-VT)","Vermont","$144387"
"Baldwin Tammy (D-WI)","Wisconsin","$143409"
"Simpson Alan K (R-WY)","Wyoming","$141485"
"Masto Catherine Cortez (D-NV)","Nevada","$139315"
"Helms Jesse (R-NC)","North Carolina","$135893"
"Strange Luther (R-AL)","Alabama","$134400"
"Peters Gary (D-MI)","Michigan","$133011"
"Cardin Ben (D-MD)","Maryland","$130885"
"King Angus (I-ME)","Maine","$127025"
"Cantwell Maria (D-WA)","Washington","$125791"
"Bentsen Lloyd (D-TX)","Texas","$122995"
"Shaheen Jeanne (D-NH)","New Hampshire","$118594"
"Jones Doug (D-AL)","Alabama","$117409"
"Schiff Adam (D-CA)","California","$115464"
"Coons Chris (D-DE)","Delaware","$115256"
"Edwards John (D)","","$110558"
"Levin Carl (D-MI)","Michigan","$110394"
"Kerrey Bob (D-NE)","Nebraska","$110150"
"Stabenow Debbie (D-MI)","Michigan","$109709"
"Murray Patty (D-WA)","Washington","$109039"
"Van Hollen Chris (D-MD)","Maryland","$108926"
"Bumpers Dale (D-AR)","Arkansas","$108800"
"Fitzgerald Peter G (R-IL)","Illinois","$107411"
"Ford Wendell H (D-KY)","Kentucky","$106600"
"Lautenberg Frank (D-NJ)","New Jersey","$105050"
"Wirth Timothy E (D-CO)","Colorado","$104850"
"Hassan Maggie (D-NH)","New Hampshire","$103383"
"Murphy Christopher S (D-CT)","Connecticut","$102157"
"Kim Andy (D-NJ)","New Jersey","$101208"
"Kempthorne Dirk (R-ID)","Idaho","$97946"
"Gregg Judd (R-NH)","New Hampshire","$97705"
"Kasten Bob (R-WI)","Wisconsin","$95599"
"Hatfield Mark O (R-OR)","Oregon","$94485"
"Slotkin Elissa (D-MI)","Michigan","$93592"
"Wofford Harris (D-PA)","Pennsylvania","$92550"
"Moynihan Daniel Patrick (D-NY)","New York","$90000"
"Graham Bob (D-FL)","Florida","$88600"
"Whitehouse Sheldon (D-RI)","Rhode Island","$88106"
"Gallego Ruben (D-AZ)","Arizona","$86761"
"Donnelly Joe (D-IN)","Indiana","$86317"
"Booker Cory (D-NJ)","New Jersey","$85599"
"Byrd Robert C (D-WV)","West Virginia","$83150"
"Wilson Pete (R)","","$83000"
"Feingold Russ (D-WI)","Wisconsin","$81659"
"Mack Connie (R-FL)","Florida","$78028"
"Chafee Lincoln (L)","","$76175"
"Fowler Wyche Jr (D-GA)","Georgia","$75583"
"Johanns Mike (R-NE)","Nebraska","$74150"
"Schatz Brian (D-HI)","Hawaii","$72312"
"Inouye Daniel K (D-HI)","Hawaii","$71300"
"Cleland Max (D-GA)","Georgia","$67000"
"Duckworth Tammy (D-IL)","Illinois","$66621"
"Mikulski Barbara A (D-MD)","Maryland","$65710"
"Packwood Bob (R-OR)","Oregon","$61592"
"Fetterman John (D-PA)","Pennsylvania","$60096"
"Sasser Jim (D-TN)","Tennessee","$57000"
"Merkley Jeff (D-OR)","Oregon","$55872"
"Hagan Kay R (D-NC)","North Carolina","$53825"
"Blumenthal Richard (D-CT)","Connecticut","$52696"
"Glenn John (D-OH)","Ohio","$50150"
"Dixon Alan J (D-IL)","Illinois","$50082"
"Boxer Barbara (D-CA)","California","$50075"
"Hirono Mazie K (D-HI)","Hawaii","$48660"
"Thurmond Strom (R-SC)","South Carolina","$46985"
"Pryor David (D-AR)","Arkansas","$46750"
"Nunn Sam (D-GA)","Georgia","$45900"
"Franken Al (D-MN)","Minnesota","$44575"
"Chafee John H (R-RI)","Rhode Island","$40804"
"Smith Tina (D-MN)","Minnesota","$40653"
"Exon Jim (D-NE)","Nebraska","$38218"
"Rochester Lisa Blunt (D-DE)","Delaware","$36446"
"Bryan Richard H (D-NV)","Nevada","$36035"
"Akaka Daniel K (D-HI)","Hawaii","$35000"
"Mitchell George J (D-ME)","Maine","$34000"
"Reed Jack (D-RI)","Rhode Island","$33901"
"McClure James A (R-ID)","Idaho","$33750"
"Simon Paul (D-IL)","Illinois","$33700"
"Jeffords James M (I-VT)","Vermont","$32129"
"Riegle Donald W Jr (D-MI)","Michigan","$32025"
"Sanford James Terry (D-NC)","North Carolina","$30400"
"Alsobrooks Angela (D-MD)","Maryland","$29625"
"Pell Claiborne (D-RI)","Rhode Island","$27850"
"Braun Carol Moseley (D)","","$27826"
"Cohen William S (R-ME)","Maine","$27535"
"Wallop Malcolm (R-WY)","Wyoming","$27400"
"Symms Steven D (R-ID)","Idaho","$24833"
"Webb Jim (D)","","$24556"
"Miller Zell (D-GA)","Georgia","$23750"
"Carnahan Jean (D-MO)","Missouri","$21650"
"Sarbanes Paul S (D-MD)","Maryland","$21150"
"Walsh John (D-MT)","Montana","$19600"
"Kassebaum Nancy Landon (R-KS)","Kansas","$18658"
"Padilla Alex (D-CA)","California","$17720"
"Leahy Patrick (D-VT)","Vermont","$16208"
"Adams Brock (D-WA)","Washington","$14950"
"Durenberger Dave (R-MN)","Minnesota","$10850"
"Wellstone Paul (D-MN)","Minnesota","$10350"
"Frahm Sheila (R-KS)","Kansas","$9700"
"Corzine Jon S (D-NJ)","New Jersey","$9250"
"Deconcini Dennis (D-AZ)","Arizona","$8650"
"Cranston Alan (D)","","$8000"
"Heinz John (R-PA)","Pennsylvania","$7750"
"Lemieux George S (R-FL)","Florida","$7500"
"Mathews Harlan (D-TN)","Tennessee","$6000"
"Danforth John C (R-MO)","Missouri","$3000"
"Dayton Mark (D-MN)","Minnesota","$2250"
"Kohl Herb (D-WI)","Wisconsin","$1300"
"Garn Jake (R-UT)","Utah","$1000"
"Burris Roland (D-IL)","Illinois","$500"
"Barkley Dean M (I-MN)","Minnesota","$200"
