"Senator","State","Amount"
"Hassan Maggie (D-NH)","New Hampshire","$2950176"
"Wyden Ron (D-OR)","Oregon","$2947888"
"Graham Lindsey (R-SC)","South Carolina","$2808114"
"Gallego Ruben (D-AZ)","Arizona","$2778814"
"Cornyn John (R-TX)","Texas","$2705135"
"Thune John (R-SD)","South Dakota","$2639650"
"Blackburn Marsha (R-TN)","Tennessee","$2603828"
"Bradley Bill (D)","","$2570479"
"Heitkamp Heidi (D-ND)","North Dakota","$2545453"
"Reid Harry (D-NV)","Nevada","$2521838"
"Leahy Patrick (D-VT)","Vermont","$2471822"
"Menendez Robert (I-NJ)","New Jersey","$2377936"
"Hatch Orrin G (R-UT)","Utah","$2377505"
"Fetterman John (D-PA)","Pennsylvania","$2367852"
"Murphy Christopher S (D-CT)","Connecticut","$2362750"
"Shaheen Jeanne (D-NH)","New Hampshire","$2322965"
"Blunt Roy (R-MO)","Missouri","$2300560"
"Specter Arlen (D-PA)","Pennsylvania","$2279693"
"Edwards John (D)","","$2178415"
"Udall Mark (D-CO)","Colorado","$2134167"
"Sinema Kyrsten (I-AZ)","Arizona","$2084456"
"Perdue David (R-GA)","Georgia","$2071381"
"Blumenthal Richard (D-CT)","Connecticut","$2030228"
"Daschle Tom (D-SD)","South Dakota","$1992280"
"Wicker Roger (R-MS)","Mississippi","$1955081"
"Feingold Russ (D-WI)","Wisconsin","$1924914"
"Collins Susan M (R-ME)","Maine","$1898724"
"Burns Conrad (R-MT)","Montana","$1887052"
"Dodd Chris (D-CT)","Connecticut","$1886366"
"Kennedy Edward M (D-MA)","Massachusetts","$1848033"
"Allen George (R-VA)","Virginia","$1836176"
"Durbin Dick (D-IL)","Illinois","$1830967"
"Grassley Chuck (R-IA)","Iowa","$1828829"
"Lieberman Joe (D-CT)","Connecticut","$1799762"
"Santorum Rick (R)","","$1751572"
"Kim Andy (D-NJ)","New Jersey","$1751207"
"Stabenow Debbie (D-MI)","Michigan","$1745192"
"Gardner Cory (R-CO)","Colorado","$1726385"
"Whitehouse Sheldon (D-RI)","Rhode Island","$1711340"
"Portman Rob (R-OH)","Ohio","$1666362"
"Van Hollen Chris (D-MD)","Maryland","$1600398"
"Landrieu Mary L (D-LA)","Louisiana","$1566379"
"McSally Martha (R-AZ)","Arizona","$1546394"
"Brown Scott (R-NH)","New Hampshire","$1541005"
"Loeffler Kelly (R-GA)","Georgia","$1534661"
"Pryor Mark (D-AR)","Arkansas","$1533075"
"Duckworth Tammy (D-IL)","Illinois","$1522729"
"Lujan Ben Ray (D-NM)","New Mexico","$1508007"
"Scott Tim (R-SC)","South Carolina","$1492253"
"Heinrich Martin (D-NM)","New Mexico","$1484445"
"Tillis Thom (R-NC)","North Carolina","$1469606"
"Hollings Fritz (D-SC)","South Carolina","$1462821"
"Coons Chris (D-DE)","Delaware","$1443568"
"Burr Richard (R-NC)","North Carolina","$1410529"
"Moran Jerry (R-KS)","Kansas","$1351616"
"Johnson Ron (R-WI)","Wisconsin","$1345015"
"Young Todd (R-IN)","Indiana","$1334060"
"Baucus Max (D-MT)","Montana","$1326861"
"Stevens Ted (R-AK)","Alaska","$1320129"
"DeWine Mike (R-OH)","Ohio","$1313194"
"Toomey Pat (R-PA)","Pennsylvania","$1265217"
"Lee Mike (R-UT)","Utah","$1254318"
"Smith Gordon H (R-OR)","Oregon","$1253433"
"Daines Steven (R-MT)","Montana","$1249438"
"Rockefeller Jay (D-WV)","West Virginia","$1239096"
"Merkley Jeff (D-OR)","Oregon","$1228434"
"Kerrey Bob (D-NE)","Nebraska","$1203858"
"Alexander Lamar (R-TN)","Tennessee","$1171499"
"Dorgan Byron L (D-ND)","North Dakota","$1168109"
"D'Amato Alfonse M (R-NY)","New York","$1164626"
"Ayotte Kelly (R-NH)","New Hampshire","$1162395"
"Manchin Joe (D-WV)","West Virginia","$1160859"
"Paul Rand (R-KY)","Kentucky","$1145142"
"Fischer Deb (R-NE)","Nebraska","$1140212"
"Hutchison Kay Bailey (R-TX)","Texas","$1139787"
"Alsobrooks Angela (D-MD)","Maryland","$1130597"
"Udall Tom (D-NM)","New Mexico","$1122513"
"Hagan Kay R (D-NC)","North Carolina","$1120615"
"Heller Dean (R-NV)","Nevada","$1117348"
"Dole Bob (R)","","$1114046"
"Bayh Evan (D-IN)","Indiana","$1113652"
"Schatz Brian (D-HI)","Hawaii","$1106490"
"Padilla Alex (D-CA)","California","$1097017"
"Barrasso John (R-WY)","Wyoming","$1095253"
"Salazar Ken (D-CO)","Colorado","$1075556"
"Donnelly Joe (D-IN)","Indiana","$1051481"
"Begich Mark (D-AK)","Alaska","$1050995"
"Murkowski Lisa (R-AK)","Alaska","$1027677"
"Coleman Norm (R-MN)","Minnesota","$1025521"
"Smith Tina (D-MN)","Minnesota","$1018276"
"Isakson Johnny (R-GA)","Georgia","$1002043"
"Kirk Mark (R-IL)","Illinois","$988253"
"Shelby Richard C (R-AL)","Alabama","$986110"
"Lincoln Blanche (D-AR)","Arkansas","$984975"
"Inouye Daniel K (D-HI)","Hawaii","$974563"
"Ensign John (R-NV)","Nevada","$943388"
"Harkin Tom (D-IA)","Iowa","$936485"
"Abraham Spencer (R-MI)","Michigan","$930753"
"Corker Bob (R-TN)","Tennessee","$921819"
"Crapo Mike (R-ID)","Idaho","$916621"
"Sununu John E (R-NH)","New Hampshire","$913894"
"Reed Jack (D-RI)","Rhode Island","$912999"
"Gramm Phil (R-TX)","Texas","$896197"
"Cardin Ben (D-MD)","Maryland","$875551"
"Welch Peter (D-VT)","Vermont","$874822"
"Thompson Fred (R)","","$866819"
"Ernst Joni (R-IA)","Iowa","$860521"
"Pressler Larry (I-SD)","South Dakota","$845681"
"Lautenberg Frank (D-NJ)","New Jersey","$839794"
"Cotton Tom (R-AR)","Arkansas","$839680"
"Carper Tom (D-DE)","Delaware","$826517"
"Sullivan Dan (R-AK)","Alaska","$824224"
"Curtis John (R-UT)","Utah","$816415"
"Kyl Jon (R-AZ)","Arizona","$811825"
"Dole Elizabeth (R-NC)","North Carolina","$808848"
"Chambliss Saxby (R-GA)","Georgia","$805308"
"Talent James M (R-MO)","Missouri","$802825"
"Bond Christopher ""Kit"" (R-MO)","Missouri","$797603"
"Nelson Ben (D-NE)","Nebraska","$796906"
"Robb Charles S (D-VA)","Virginia","$784341"
"Hirono Mazie K (D-HI)","Hawaii","$784105"
"King Angus (I-ME)","Maine","$779800"
"Mikulski Barbara A (D-MD)","Maryland","$779418"
"Kennedy John (R-LA)","Louisiana","$769573"
"Snowe Olympia (R-ME)","Maine","$762155"
"Scott Rick (R-FL)","Florida","$759519"
"Cassidy Bill (R-LA)","Louisiana","$754674"
"Cleland Max (D-GA)","Georgia","$749808"
"DeMint Jim (R-SC)","South Carolina","$743469"
"Roberts Pat (R-KS)","Kansas","$742006"
"Capito Shelley Moore (R-WV)","West Virginia","$716087"
"Brownback Sam (R)","","$712933"
"McCormick Dave (R-PA)","Pennsylvania","$710036"
"Lugar Richard G (R-IN)","Indiana","$701107"
"Gorton Slade (R-WA)","Washington","$700134"
"Flake Jeff (R-AZ)","Arizona","$696990"
"Torricelli Robert G (D-NJ)","New Jersey","$695559"
"Boozman John (R-AR)","Arkansas","$683917"
"Vitter David (R-LA)","Louisiana","$672515"
"Rochester Lisa Blunt (D-DE)","Delaware","$665981"
"Inhofe James M (R-OK)","Oklahoma","$661667"
"Cochran Thad (R-MS)","Mississippi","$642916"
"Levin Carl (D-MI)","Michigan","$626364"
"Ashcroft John (R-MO)","Missouri","$623837"
"Sessions Jeff (R-AL)","Alabama","$611606"
"Lott Trent (R-MS)","Mississippi","$607549"
"Johnson Tim (D-SD)","South Dakota","$601112"
"Lankford James (R-OK)","Oklahoma","$572270"
"Mullin Markwayne (R-OK)","Oklahoma","$564318"
"Graham Bob (D-FL)","Florida","$547878"
"Cramer Kevin (R-ND)","North Dakota","$533956"
"Webb Jim (D)","","$533328"
"Breaux John (D-LA)","Louisiana","$509439"
"Voinovich George V (R-OH)","Ohio","$505903"
"Warner John W (R-VA)","Virginia","$475923"
"Braun Carol Moseley (D)","","$473740"
"Rounds Mike (R-SD)","South Dakota","$473410"
"Sasse Ben (R-NE)","Nebraska","$463965"
"Gregg Judd (R-NH)","New Hampshire","$462719"
"Hoeven John (R-ND)","North Dakota","$457142"
"Conrad Kent (D-ND)","North Dakota","$457124"
"Frist Bill (R-TN)","Tennessee","$448124"
"Hawley Josh (R-MO)","Missouri","$446669"
"Carnahan Jean (D-MO)","Missouri","$443625"
"Martinez Mel (R-FL)","Florida","$430428"
"Coats Dan (R-IN)","Indiana","$420282"
"Bingaman Jeff (D-NM)","New Mexico","$418656"
"Bennett Robert F (R-UT)","Utah","$412043"
"Bunning Jim (R-KY)","Kentucky","$404970"
"Allard Wayne (R-CO)","Colorado","$394319"
"Enzi Mike (R-WY)","Wyoming","$389220"
"Wellstone Paul (D-MN)","Minnesota","$384678"
"Hagerty Bill (R-TN)","Tennessee","$383862"
"Campbell Ben Nighthorse (R-CO)","Colorado","$383000"
"Coverdell Paul (R-GA)","Georgia","$382774"
"Domenici Pete V (R-NM)","New Mexico","$377312"
"Packwood Bob (R-OR)","Oregon","$373951"
"Coburn Tom (R-OK)","Oklahoma","$364140"
"Risch James E (R-ID)","Idaho","$358776"
"Britt Katie Boyd (R-AL)","Alabama","$353446"
"Johanns Mike (R-NE)","Nebraska","$335398"
"Moreno Bernie (R-OH)","Ohio","$332654"
"Wilson Pete (R)","","$330820"
"Budd Ted (R-NC)","North Carolina","$330129"
"Hagel Chuck (R-NE)","Nebraska","$329042"
"Sheehy Tim (R-MT)","Montana","$322251"
"Craig Larry (R-ID)","Idaho","$312687"
"Boschwitz Rudy (R-MN)","Minnesota","$311252"
"Marshall Roger (R-KS)","Kansas","$301688"
"Banks Jim (R-IN)","Indiana","$300473"
"Grams Rod (R-MN)","Minnesota","$298664"
"Ricketts Pete (R-NE)","Nebraska","$297603"
"Faircloth Lauch (R-NC)","North Carolina","$293831"
"Nickles Don (R-OK)","Oklahoma","$292780"
"Wofford Harris (D-PA)","Pennsylvania","$277050"
"Byrd Robert C (D-WV)","West Virginia","$273240"
"Helms Jesse (R-NC)","North Carolina","$271734"
"Fowler Wyche Jr (D-GA)","Georgia","$264736"
"Moynihan Daniel Patrick (D-NY)","New York","$263688"
"Vance J D (R-OH)","Ohio","$258353"
"Simon Paul (D-IL)","Illinois","$257204"
"Seymour John F (R-CA)","California","$235974"
"Hyde-Smith Cindy (R-MS)","Mississippi","$233514"
"Wirth Timothy E (D-CO)","Colorado","$226857"
"Mack Connie (R-FL)","Florida","$221779"
"Akaka Daniel K (D-HI)","Hawaii","$209700"
"Kasten Bob (R-WI)","Wisconsin","$207450"
"Roth William V Jr (R-DE)","Delaware","$206099"
"Fitzgerald Peter G (R-IL)","Illinois","$199961"
"Bryan Richard H (D-NV)","Nevada","$198617"
"Smith Bob (R-NH)","New Hampshire","$197205"
"Brown Hank (R-CO)","Colorado","$190402"
"Hutchinson Tim (R-AR)","Arkansas","$190374"
"Schmitt Eric (R-MO)","Missouri","$181067"
"Lummis Cynthia (R-WY)","Wyoming","$180091"
"Chafee Lincoln (L)","","$176750"
"Braun Mike (R-IN)","Indiana","$170247"
"Exon Jim (D-NE)","Nebraska","$161527"
"Tuberville Tommy (R-AL)","Alabama","$159505"
"Sasser Jim (D-TN)","Tennessee","$156305"
"Thomas Craig (R-WY)","Wyoming","$152232"
"Strange Luther (R-AL)","Alabama","$148200"
"Walsh John (D-MT)","Montana","$142750"
"Heflin Howell (D-AL)","Alabama","$141658"
"Sarbanes Paul S (D-MD)","Maryland","$138300"
"Miller Zell (D-GA)","Georgia","$135750"
"Cranston Alan (D)","","$134000"
"Deconcini Dennis (D-AZ)","Arizona","$132703"
"Glenn John (D-OH)","Ohio","$128314"
"Mitchell George J (D-ME)","Maine","$128150"
"Cohen William S (R-ME)","Maine","$127614"
"Jeffords James M (I-VT)","Vermont","$126247"
"Hatfield Mark O (R-OR)","Oregon","$119502"
"Johnston J Bennett (D-LA)","Louisiana","$117050"
"Thurmond Strom (R-SC)","South Carolina","$112722"
"Murkowski Frank H (R-AK)","Alaska","$108415"
"Krueger Robert (Bob) (D-TX)","Texas","$101179"
"Ford Wendell H (D-KY)","Kentucky","$101100"
"Simpson Alan K (R-WY)","Wyoming","$98878"
"Justice Jim (R-WV)","West Virginia","$96828"
"Nunn Sam (D-GA)","Georgia","$94470"
"Pell Claiborne (D-RI)","Rhode Island","$91350"
"Chafee John H (R-RI)","Rhode Island","$88295"
"Kempthorne Dirk (R-ID)","Idaho","$82199"
"Dixon Alan J (D-IL)","Illinois","$74882"
"Sanford James Terry (D-NC)","North Carolina","$74803"
"Adams Brock (D-WA)","Washington","$70458"
"Riegle Donald W Jr (D-MI)","Michigan","$67050"
"Bumpers Dale (D-AR)","Arkansas","$59200"
"Corzine Jon S (D-NJ)","New Jersey","$54650"
"Bentsen Lloyd (D-TX)","Texas","$50050"
"Boren David Lyle (D-OK)","Oklahoma","$45830"
"Lemieux George S (R-FL)","Florida","$42400"
"Pryor David (D-AR)","Arkansas","$34000"
"Dayton Mark (D-MN)","Minnesota","$30620"
"Durenberger Dave (R-MN)","Minnesota","$28862"
"Frahm Sheila (R-KS)","Kansas","$28850"
"Kassebaum Nancy Landon (R-KS)","Kansas","$23700"
"Symms Steven D (R-ID)","Idaho","$13995"
"Kohl Herb (D-WI)","Wisconsin","$13200"
"Mathews Harlan (D-TN)","Tennessee","$11000"
"McClure James A (R-ID)","Idaho","$10200"
"Heinz John (R-PA)","Pennsylvania","$10000"
"Barkley Dean M (I-MN)","Minnesota","$8343"
"Danforth John C (R-MO)","Missouri","$8000"
"Rudman Warren B (R-NH)","New Hampshire","$8000"
"Wallop Malcolm (R-WY)","Wyoming","$6500"
