"Representative","State","Amount"
"Crapo Mike (R-ID)","Idaho","$2702574"
"Dingell John D (D-MI)","Michigan","$2661437"
"Ryan Tim (D-OH)","Ohio","$2656860"
"Isakson Johnny (R-GA)","Georgia","$2594860"
"Porter Katie (D-CA)","California","$2505265"
"Waxman Henry (D-CA)","California","$2451865"
"Lincoln Blanche (D-AR)","Arkansas","$2436024"
"Becerra Xavier (D-CA)","California","$2409653"
"Stark Pete (D-CA)","California","$2403242"
"Demings Val (D-FL)","Florida","$2399781"
"Gephardt Richard A (D)","","$2375009"
"Hudson Richard (R-NC)","North Carolina","$2364295"
"Whitfield Ed (R-KY)","Kentucky","$2359832"
"Thomas Bill (R-CA)","California","$2354550"
"Wicker Roger (R-MS)","Mississippi","$2307431"
"Smith Jason (R-MO)","Missouri","$2301058"
"Kyl Jon (R-AZ)","Arizona","$2300581"
"Schrader Kurt (D-OR)","Oregon","$2291382"
"Norwood Charles W (R-GA)","Georgia","$2269519"
"Craig Angie (D-MN)","Minnesota","$2257191"
"Ocasio-Cortez Alexandria (D-NY)","New York","$2251575"
"Larson John (D-CT)","Connecticut","$2240836"
"Sewell Terri (D-AL)","Alabama","$2226641"
"Pitts Joe (R-PA)","Pennsylvania","$2215038"
"Capito Shelley Moore (R-WV)","West Virginia","$2208266"
"Gardner Cory (R-CO)","Colorado","$2194471"
"Stivers Steve (R-OH)","Ohio","$2184908"
"Murphy Tim (R-PA)","Pennsylvania","$2168114"
"Berkley Shelley (D-NV)","Nevada","$2134328"
"Schwartz Allyson (D-PA)","Pennsylvania","$2130834"
"James John (R-MI)","Michigan","$2127208"
"Roberts Pat (R-KS)","Kansas","$2127054"
"Tlaib Rashida (D-MI)","Michigan","$2104556"
"Rogers Mike (R-MI)","Michigan","$2090913"
"Heinrich Martin (D-NM)","New Mexico","$2090371"
"Heck Joe (R-NV)","Nevada","$2065831"
"Schneider Brad (D-IL)","Illinois","$2057120"
"Hastert Dennis (R-IL)","Illinois","$2049610"
"Cantwell Maria (D-WA)","Washington","$2046297"
"Omar Ilhan (D-MN)","Minnesota","$2018145"
"DeLauro Rosa (D-CT)","Connecticut","$2013838"
"Markey Ed (D-MA)","Massachusetts","$2003869"
"Kuster Ann (D-NH)","New Hampshire","$1974921"
"Khanna Ro (D-CA)","California","$1968090"
"Daines Steven (R-MT)","Montana","$1956558"
"Duckworth Tammy (D-IL)","Illinois","$1946715"
"Green Gene (D-TX)","Texas","$1936642"
"Talent James M (R-MO)","Missouri","$1932600"
"Matheson Jim (D-UT)","Utah","$1921910"
"Rochester Lisa Blunt (D-DE)","Delaware","$1919756"
"Lewis John (D-GA)","Georgia","$1911203"
"Jeffries Hakeem (D-NY)","New York","$1909330"
"DeWine Mike (R-OH)","Ohio","$1908820"
"Boxer Barbara (D-CA)","California","$1904039"
"Ganske Greg (R-IA)","Iowa","$1897813"
"Heller Dean (R-NV)","Nevada","$1895235"
"Sanchez Linda (D-CA)","California","$1892970"
"Crowley Joseph (D-NY)","New York","$1892831"
"Towns Edolphus (D-NY)","New York","$1875577"
"Matsui Doris (D-CA)","California","$1875006"
"DeSantis Ron (R)","","$1872901"
"Wenstrup Brad (R-OH)","Ohio","$1872780"
"Dunn Neal (R-FL)","Florida","$1872739"
"LaHood Darin (R-IL)","Illinois","$1864918"
"Crist Charlie (D-FL)","Florida","$1862000"
"Gottheimer Josh (D-NJ)","New Jersey","$1859363"
"Gerlach Jim (R-PA)","Pennsylvania","$1837535"
"Udall Mark (D-CO)","Colorado","$1834582"
"Capps Lois (D-CA)","California","$1822726"
"Chambliss Saxby (R-GA)","Georgia","$1815333"
"Carper Tom (D-DE)","Delaware","$1813394"
"Ensign John (R-NV)","Nevada","$1807449"
"Levin Sander (D-MI)","Michigan","$1804450"
"Clark Katherine (D-MA)","Massachusetts","$1782909"
"Gingrich Newt (R)","","$1772635"
"Schultz Debbie Wasserman (D-FL)","Florida","$1763906"
"Dent Charlie (R-PA)","Pennsylvania","$1756557"
"Cuellar Henry (D-TX)","Texas","$1752054"
"Lujan Ben Ray (D-NM)","New Mexico","$1745294"
"Joyce John (R-PA)","Pennsylvania","$1743315"
"Lance Leonard (R-NJ)","New Jersey","$1724950"
"McCrery Jim (R-LA)","Louisiana","$1717344"
"Vitter David (R-LA)","Louisiana","$1715981"
"McHenry Patrick (R-NC)","North Carolina","$1712870"
"Moran Jerry (R-KS)","Kansas","$1712114"
"Kennedy Joe III (D-MA)","Massachusetts","$1707873"
"Donnelly Joe (D-IN)","Indiana","$1707463"
"Engel Eliot (D-NY)","New York","$1702636"
"Kelly Mike (R-PA)","Pennsylvania","$1699538"
"Kelly Robin (D-IL)","Illinois","$1696776"
"Boozman John (R-AR)","Arkansas","$1695235"
"Pomeroy Earl (D-ND)","North Dakota","$1688658"
"Cardenas Tony (D-CA)","California","$1673209"
"DelBene Suzan (D-WA)","Washington","$1661498"
"Kim Andy (D-NJ)","New Jersey","$1645517"
"Fleming John (R-LA)","Louisiana","$1644752"
"Doggett Lloyd (D-TX)","Texas","$1642553"
"Aguilar Pete (D-CA)","California","$1629554"
"Mucarsel-Powell Debbie (D-FL)","Florida","$1624919"
"Ferguson Mike (R-NJ)","New Jersey","$1617412"
"Torricelli Robert G (D-NJ)","New Jersey","$1607990"
"Stefanik Elise (R-NY)","New York","$1607953"
"Allen George (R-VA)","Virginia","$1607655"
"Smith Adrian (R-NE)","Nebraska","$1606457"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$1574696"
"Lankford James (R-OK)","Oklahoma","$1569327"
"Coburn Tom (R-OK)","Oklahoma","$1561588"
"Ferguson Drew (R-GA)","Georgia","$1558476"
"Reed Tom (R-NY)","New York","$1557766"
"Ross Mike (D-AR)","Arkansas","$1553706"
"Horsford Steven (D-NV)","Nevada","$1549638"
"Swalwell Eric (D-CA)","California","$1545353"
"Lee Barbara (D-CA)","California","$1544900"
"Johnson Mike (R-LA)","Louisiana","$1544668"
"Barr Andy (R-KY)","Kentucky","$1537779"
"Blumenauer Earl (D-OR)","Oregon","$1521477"
"Hayworth Nan (R-NY)","New York","$1504156"
"Miller-Meeks Mariannette (R-IA)","Iowa","$1499752"
"English Phil (R-PA)","Pennsylvania","$1491451"
"Barrow John (D-GA)","Georgia","$1485439"
"Ellison Keith (D-MN)","Minnesota","$1480773"
"Murphy Greg (R-NC)","North Carolina","$1478302"
"Northup Anne M (R-KY)","Kentucky","$1476100"
"Chu Judy (D-CA)","California","$1473310"
"Frelinghuysen Rodney (R-NJ)","New Jersey","$1464660"
"Tonko Paul (D-NY)","New York","$1451981"
"Black Diane (R-TN)","Tennessee","$1447093"
"Bilirakis Michael (R-FL)","Florida","$1446549"
"Mullin Markwayne (R-OK)","Oklahoma","$1436798"
"Cotton Tom (R-AR)","Arkansas","$1430021"
"Johnson Sam (R-TX)","Texas","$1429424"
"Griffith Morgan (R-VA)","Virginia","$1423774"
"DeMint Jim (R-SC)","South Carolina","$1417699"
"Walorski Jackie (R-IN)","Indiana","$1403463"
"Cole Tom (R-OK)","Oklahoma","$1401328"
"Deal Nathan (R-GA)","Georgia","$1397685"
"Scott David (D-GA)","Georgia","$1384132"
"Lazio Rick A (R-NY)","New York","$1383588"
"Kean Thomas H Jr (R-NJ)","New Jersey","$1380603"
"Gabbard Tulsi (D-HI)","Hawaii","$1379574"
"Schakowsky Jan (D-IL)","Illinois","$1377319"
"Marshall Roger (R-KS)","Kansas","$1371353"
"Schock Aaron (R-IL)","Illinois","$1365285"
"Cooper Jim (D-TN)","Tennessee","$1354862"
"Castor Kathy (D-FL)","Florida","$1347761"
"Ros-Lehtinen Ileana (R-FL)","Florida","$1346279"
"Johnson Bill (R-OH)","Ohio","$1342881"
"Sherrill Mikie (D-NJ)","New Jersey","$1332100"
"Rogers Mike D (R-AL)","Alabama","$1331097"
"Bilbray Brian P (R-CA)","California","$1327601"
"Shaw E Clay Jr (R-FL)","Florida","$1325545"
"Wagner Ann (R-MO)","Missouri","$1323452"
"Courtney Joe (D-CT)","Connecticut","$1323022"
"Wild Susan (D-PA)","Pennsylvania","$1314724"
"Suozzi Tom (D-NY)","New York","$1313434"
"Kasich John (R)","","$1312415"
"Davis Rodney (R-IL)","Illinois","$1310616"
"Simpson Mike (R-ID)","Idaho","$1304785"
"Latta Bob (R-OH)","Ohio","$1289472"
"Brownley Julia (D-CA)","California","$1285842"
"Sherman Brad (D-CA)","California","$1282598"
"Gosar Paul (R-AZ)","Arizona","$1281750"
"Gordon Bart (D-TN)","Tennessee","$1280916"
"McGovern James P (D-MA)","Massachusetts","$1279494"
"Israel Steve (D-NY)","New York","$1270171"
"Arrington Jodey (R-TX)","Texas","$1261938"
"Jackson Lee Sheila (D-TX)","Texas","$1254200"
"McKinley David (R-WV)","West Virginia","$1253825"
"Schweikert David (R-AZ)","Arizona","$1247123"
"Lowey Nita M (D-NY)","New York","$1244638"
"Harder Josh (D-CA)","California","$1239282"
"Kildee Dan (D-MI)","Michigan","$1238620"
"Crenshaw Dan (R-TX)","Texas","$1232942"
"Rothman Steven R (D-NJ)","New Jersey","$1230872"
"Kingston Jack (R-GA)","Georgia","$1229327"
"Meehan Patrick (R-PA)","Pennsylvania","$1225885"
"Curtis John (R-UT)","Utah","$1223462"
"Jordan Jim (R-OH)","Ohio","$1217379"
"Royce Ed (R-CA)","California","$1212880"
"Butterfield G K (D-NC)","North Carolina","$1208866"
"Buyer Steve (R-IN)","Indiana","$1204141"
"Myrick Sue (R-NC)","North Carolina","$1203282"
"Underwood Lauren A (D-IL)","Illinois","$1198767"
"Kilmer Derek (D-WA)","Washington","$1192066"
"Wilson Heather A (R-NM)","New Mexico","$1184416"
"Snowe Olympia (R-ME)","Maine","$1183937"
"Bustos Cheri (D-IL)","Illinois","$1182454"
"Foxx Virginia (R-NC)","North Carolina","$1181598"
"Murtha John P (D-PA)","Pennsylvania","$1176104"
"Richardson Bill (D)","","$1170733"
"Murphy Patrick (D-FL)","Florida","$1167972"
"Sanchez Loretta (D-CA)","California","$1167585"
"Issa Darrell (R-CA)","California","$1167076"
"Altmire Jason (D-PA)","Pennsylvania","$1164362"
"Long Billy (R-MO)","Missouri","$1164081"
"Emmer Tom (R-MN)","Minnesota","$1159483"
"Andrews Robert E (D-NJ)","New Jersey","$1157655"
"Meek Kendrick B (D-FL)","Florida","$1157548"
"Babin Brian (R-TX)","Texas","$1156799"
"Reed Jack (D-RI)","Rhode Island","$1151853"
"Fletcher Lizzie (D-TX)","Texas","$1151046"
"Reynolds Tom (R-NY)","New York","$1148976"
"Kinzinger Adam (R-IL)","Illinois","$1147496"
"Johnson Tim (D-SD)","South Dakota","$1143192"
"Cooksey John (R-LA)","Louisiana","$1140746"
"Lee Susie (D-NV)","Nevada","$1132245"
"Joyce David P (R-OH)","Ohio","$1125010"
"Weldon Dave (R-FL)","Florida","$1121674"
"Dold Bob (R-IL)","Illinois","$1118663"
"Bishop Sanford (D-GA)","Georgia","$1114320"
"Davids Sharice (D-KS)","Kansas","$1110330"
"Bonilla Henry (R-TX)","Texas","$1109254"
"Carson Andre (D-IN)","Indiana","$1107725"
"Malinowski Tom (D-NJ)","New Jersey","$1101851"
"Larsen Rick (D-WA)","Washington","$1101596"
"Bunning Jim (R-KY)","Kentucky","$1099800"
"Spanberger Abigail (D-VA)","Virginia","$1090659"
"Foster Bill (D-IL)","Illinois","$1090653"
"Espy Mike (D-MS)","Mississippi","$1090169"
"Holding George (R-NC)","North Carolina","$1090092"
"DeLay Tom (R-TX)","Texas","$1087324"
"Inslee Jay (D)","","$1084971"
"Kennedy Patrick J (D-RI)","Rhode Island","$1083619"
"Van Drew Jeff (R-NJ)","New Jersey","$1076220"
"Wilson Joe (R-SC)","South Carolina","$1074273"
"Zimmer Dick (R-NJ)","New Jersey","$1073385"
"Manzullo Don (R-IL)","Illinois","$1071674"
"Ramstad Jim (R-MN)","Minnesota","$1070287"
"Fleischmann Chuck (R-TN)","Tennessee","$1069385"
"Clarke Yvette (D-NY)","New York","$1063986"
"Moulton Seth (D-MA)","Massachusetts","$1062001"
"LoBiondo Frank (R-NJ)","New Jersey","$1057460"
"Reichert Dave (R-WA)","Washington","$1053724"
"Sestak Joe (D)","","$1046420"
"Granger Kay (R-TX)","Texas","$1043986"
"Jenkins Lynn (R-KS)","Kansas","$1043314"
"Veasey Marc (D-TX)","Texas","$1042068"
"Kirkpatrick Ann (D-AZ)","Arizona","$1036729"
"Maloney Sean Patrick (D-NY)","New York","$1036301"
"Inhofe James M (R-OK)","Oklahoma","$1035669"
"Lieu Ted (D-CA)","California","$1035341"
"McCollum Bill (R-FL)","Florida","$1032808"
"Hulshof Kenny (R-MO)","Missouri","$1027874"
"Ellmers Renee (R-NC)","North Carolina","$1023043"
"Hayworth J D (R-AZ)","Arizona","$1020440"
"Maloney Carolyn (D-NY)","New York","$1019706"
"Walberg Tim (R-MI)","Michigan","$1018737"
"Holt Rush (D-NJ)","New Jersey","$1018731"
"Speier Jackie (D-CA)","California","$1016972"
"Terry Lee (R-NE)","Nebraska","$1013685"
"Shadegg John (R-AZ)","Arizona","$1010478"
"Olson Pete (R-TX)","Texas","$1008708"
"Welch Peter (D-VT)","Vermont","$1007252"
"Boyle Brendan (D-PA)","Pennsylvania","$1002981"
"Brooks Susan (R-IN)","Indiana","$1002267"
"Braley Bruce (D-IA)","Iowa","$998261"
"Price David (D-NC)","North Carolina","$993022"
"Ross Deborah (D-NC)","North Carolina","$991268"
"Aderholt Robert B (R-AL)","Alabama","$986444"
"Hall Ralph (R-TX)","Texas","$986196"
"Chabot Steve (R-OH)","Ohio","$986090"
"Levin Mike (D-CA)","California","$982621"
"Yoder Kevin (R-KS)","Kansas","$980084"
"Higgins Brian M (D-NY)","New York","$974491"
"Valadao David (R-CA)","California","$973962"
"Foley Mark (R-FL)","Florida","$973864"
"Golden Jared (D-ME)","Maine","$970085"
"Thompson Glenn (R-PA)","Pennsylvania","$968308"
"Latham Tom (R-IA)","Iowa","$968136"
"Jackson Jesse Jr (D-IL)","Illinois","$967447"
"McBath Lucy (D-GA)","Georgia","$965058"
"Yarmuth John (D-KY)","Kentucky","$958449"
"Soto Darren (D-FL)","Florida","$958354"
"Strickland Ted (D-OH)","Ohio","$948548"
"Graves Sam (R-MO)","Missouri","$945027"
"Capuano Michael E (D-MA)","Massachusetts","$940452"
"Langevin Jim (D-RI)","Rhode Island","$940209"
"McNerney Jerry (D-CA)","California","$938594"
"Ford Harold E Jr (D-TN)","Tennessee","$936786"
"Loebsack David (D-IA)","Iowa","$935047"
"Pryce Deborah (R-OH)","Ohio","$934545"
"Franks Bob (R-NJ)","New Jersey","$934501"
"Beutler Jaime Herrera (R-WA)","Washington","$932553"
"Renacci Jim (R-OH)","Ohio","$930001"
"Klein Ron (D-FL)","Florida","$929614"
"Stevens Haley (D-MI)","Michigan","$929527"
"Smith Lamar (R-TX)","Texas","$929472"
"Auchincloss Jake (D-MA)","Massachusetts","$923440"
"McCaul Michael (R-TX)","Texas","$921312"
"Ruppersberger Dutch (D-MD)","Maryland","$917058"
"McCollum Betty (D-MN)","Minnesota","$906991"
"Bachmann Michele (R-MN)","Minnesota","$902998"
"Davis Danny K (D-IL)","Illinois","$902995"
"Rice Tom (R-SC)","South Carolina","$899495"
"Posey Bill (R-FL)","Florida","$897911"
"Dingell Debbie (D-MI)","Michigan","$897076"
"Davis Geoff (R-KY)","Kentucky","$893595"
"Herger Wally (R-CA)","California","$890067"
"Cartwright Matt (D-PA)","Pennsylvania","$889368"
"Houlahan Chrissy (D-PA)","Pennsylvania","$886806"
"McCarthy Carolyn (D-NY)","New York","$884248"
"Steel Michelle (R-CA)","California","$881424"
"Obey David R (D-WI)","Wisconsin","$878829"
"Boyd Allen (D-FL)","Florida","$878654"
"Sullivan John (R-OK)","Oklahoma","$872865"
"Zeldin Lee (R-NY)","New York","$872586"
"Perlmutter Ed (D-CO)","Colorado","$871065"
"Stearns Cliff (R-FL)","Florida","$870809"
"Duffy Sean P (R-WI)","Wisconsin","$865816"
"Nussle Jim (R-IA)","Iowa","$864862"
"Thompson Bennie G (D-MS)","Mississippi","$864282"
"Kim Young (R-CA)","California","$860124"
"Udall Tom (D-NM)","New Mexico","$858885"
"Bowman Jamaal (D-NY)","New York","$858752"
"Emerson Jo Ann (R-MO)","Missouri","$857609"
"Murphy Stephanie (D-FL)","Florida","$856896"
"Flake Jeff (R-AZ)","Arizona","$851411"
"Trahan Lori (D-MA)","Massachusetts","$849484"
"Frost Martin (D-TX)","Texas","$847812"
"Banks Jim (R-IN)","Indiana","$846228"
"Barragan Nanette (D-CA)","California","$844526"
"Estes Ron (R-KS)","Kansas","$844472"
"Fortenberry Jeff (R-NE)","Nebraska","$841037"
"Simmons Rob (R-CT)","Connecticut","$840086"
"Tanner John (D-TN)","Tennessee","$840059"
"Cheney Liz (R-WY)","Wyoming","$838692"
"McIntyre Mike (D-NC)","North Carolina","$838231"
"Pence Mike (R)","","$834955"
"Comer James (R-KY)","Kentucky","$833633"
"Walz Tim (D-MN)","Minnesota","$831922"
"Edwards Chet (D-TX)","Texas","$831316"
"Pickering Charles (Chip) Jr (R-MS)","Mississippi","$830837"
"Luria Elaine (D-VA)","Virginia","$827435"
"O'Halleran Tom (D-AZ)","Arizona","$826762"
"Casten Sean (D-IL)","Illinois","$823826"
"Bono Mack Mary (R-CA)","California","$823163"
"Mack Connie (R-FL)","Florida","$822538"
"Hinojosa Ruben (D-TX)","Texas","$818549"
"Walters Mimi (R-CA)","California","$814508"
"Tauzin Billy (R-LA)","Louisiana","$814351"
"Carter John (R-TX)","Texas","$814350"
"Pompeo Mike (R-KS)","Kansas","$813690"
"Costa Jim (D-CA)","California","$813568"
"Gonzalez Charlie A (D-TX)","Texas","$813129"
"Benishek Dan (R-MI)","Michigan","$808812"
"Himes Jim (D-CT)","Connecticut","$808661"
"Matsui Robert T (D-CA)","California","$804037"
"Meng Grace (D-NY)","New York","$803870"
"Noem Kristi (R-SD)","South Dakota","$802678"
"Fletcher Ernie (R-KY)","Kentucky","$801498"
"Jindal Bobby (R)","","$801173"
"Smith Adam (D-WA)","Washington","$800116"
"Hobson Dave (R-OH)","Ohio","$799355"
"Axne Cindy (D-IA)","Iowa","$795400"
"Sununu John E (R-NH)","New Hampshire","$794168"
"Gohmert Louis B Jr (R-TX)","Texas","$791664"
"Rokita Todd (R-IN)","Indiana","$791643"
"Roe Phil (R-TN)","Tennessee","$791577"
"Harshbarger Diana (R-TN)","Tennessee","$791207"
"Rose Max (D-NY)","New York","$783392"
"Coffman Mike (R-CO)","Colorado","$782460"
"Correa Lou (D-CA)","California","$780998"
"Jones Walter B Jr (R-NC)","North Carolina","$779978"
"Costello Ryan (R-PA)","Pennsylvania","$779150"
"Cummings Elijah E (D-MD)","Maryland","$775564"
"McDermott Jim (D-WA)","Washington","$773312"
"Shays Christopher (R-CT)","Connecticut","$773295"
"Hill French (R-AR)","Arkansas","$772327"
"Bryant Ed (R-TN)","Tennessee","$768883"
"Coleman Bonnie Watson (D-NJ)","New Jersey","$767166"
"Jenkins Evan (R-WV)","West Virginia","$765908"
"West Allen (R-FL)","Florida","$764964"
"Van Duyne Beth (R-TX)","Texas","$759713"
"Beatty Joyce (D-OH)","Ohio","$758276"
"Honda Mike (D-CA)","California","$757637"
"McCormick Richard (R-GA)","Georgia","$757481"
"Lewis Ron (R-KY)","Kentucky","$754372"
"Campbell Tom (R-CA)","California","$752041"
"Fitzpatrick Michael G (R-PA)","Pennsylvania","$745373"
"Alexander Rodney (R-LA)","Louisiana","$744718"
"Cramer Kevin (R-ND)","North Dakota","$743943"
"Mast Brian (R-FL)","Florida","$739652"
"Wu David (D-OR)","Oregon","$738500"
"Bishop Timothy H (D-NY)","New York","$735858"
"Peltola Mary (D-AK)","Alaska","$734974"
"Doyle Mike (D-PA)","Pennsylvania","$734370"
"Akin Todd (R-MO)","Missouri","$734111"
"Porter Jon (R-NV)","Nevada","$733821"
"Goodlatte Bob (R-VA)","Virginia","$732424"
"Maffei Dan (D-NY)","New York","$730074"
"Bost Mike (R-IL)","Illinois","$729963"
"Kennedy Mark (R-MN)","Minnesota","$728465"
"Norcross Don (D-NJ)","New Jersey","$726060"
"Budd Ted (R-NC)","North Carolina","$725724"
"Flores Bill (R-TX)","Texas","$723888"
"Calvert Ken (R-CA)","California","$723683"
"Rush Bobby (D-IL)","Illinois","$721976"
"Lamb Conor (D-PA)","Pennsylvania","$721036"
"Thornberry Mac (R-TX)","Texas","$718955"
"Pocan Mark (D-WI)","Wisconsin","$716532"
"Smucker Lloyd (R-PA)","Pennsylvania","$716434"
"Salazar Maria (R-FL)","Florida","$714756"
"Jackson Ronny (R-TX)","Texas","$712880"
"Nethercutt George R Jr (R-WA)","Washington","$711593"
"Rogers Hal (R-KY)","Kentucky","$710865"
"Adler John H (D-NJ)","New Jersey","$709402"
"Bacon Donald John (R-NE)","Nebraska","$707777"
"Turner Michael R (R-OH)","Ohio","$705052"
"Lofgren Zoe (D-CA)","California","$703950"
"Rouda Harley (D-CA)","California","$703682"
"Meeks Gregory (D-NY)","New York","$703456"
"Balderson Troy (R-OH)","Ohio","$702518"
"Chandler Ben (D-KY)","Kentucky","$702454"
"Hirono Mazie K (D-HI)","Hawaii","$700249"
"Stanton Greg (D-AZ)","Arizona","$700097"
"Curbelo Carlos (R-FL)","Florida","$699053"
"Dreier David (R-CA)","California","$697139"
"Hayes Robin (R-NC)","North Carolina","$695736"
"Diaz-Balart Mario (R-FL)","Florida","$690386"
"Caraveo Yadira (D-CO)","Colorado","$690211"
"Panetta Jimmy (D-CA)","California","$689264"
"Titus Dina (D-NV)","Nevada","$685117"
"Slaughter Louise M (D-NY)","New York","$683663"
"Grisham Michelle Lujan (D-NM)","New Mexico","$681667"
"Boucher Rick (D-VA)","Virginia","$680977"
"Lampson Nick (D-TX)","Texas","$679646"
"Thurman Karen L (D-FL)","Florida","$679508"
"Gallagher Mike (R-WI)","Wisconsin","$675633"
"Kagen Steve (D-WI)","Wisconsin","$674552"
"Castle Michael N (R-DE)","Delaware","$673952"
"Weller Jerry (R-IL)","Illinois","$672716"
"Kline John (R-MN)","Minnesota","$672090"
"Brownback Sam (R)","","$668701"
"Moolenaar John (R-MI)","Michigan","$667098"
"Gonzalez Vicente (D-TX)","Texas","$666392"
"Morelle Joseph D (D-NY)","New York","$666333"
"Connolly Gerry (D-VA)","Virginia","$665733"
"Stupak Bart (D-MI)","Michigan","$662721"
"Allen Richard W (R-GA)","Georgia","$660669"
"Conaway Mike (R-TX)","Texas","$658927"
"Beyer Don (D-VA)","Virginia","$656045"
"Steil Bryan (R-WI)","Wisconsin","$654844"
"Roybal-Allard Lucille (D-CA)","California","$653316"
"Berry Marion (D-AR)","Arkansas","$653117"
"Pappas Chris (D-NH)","New Hampshire","$652772"
"Duncan Jeff (R-SC)","South Carolina","$651892"
"Greenwood James C (R-PA)","Pennsylvania","$651465"
"Filner Bob (D-CA)","California","$650694"
"Vindman Yevgeny 'Eugene' (D-VA)","Virginia","$649888"
"Visclosky Pete (D-IN)","Indiana","$649256"
"Ribble Reid (R-WI)","Wisconsin","$648593"
"Hill Baron (D-IN)","Indiana","$648563"
"Perez Marie Gluesenkamp (D-WA)","Washington","$648225"
"Johnson Dusty (R-SD)","South Dakota","$647280"
"Wamp Zach (R-TN)","Tennessee","$645259"
"Espaillat Adriano (D-NY)","New York","$645248"
"Desjarlais Scott (R-TN)","Tennessee","$644233"
"Velazquez Nydia (D-NY)","New York","$643184"
"Lewis Jerry (R-CA)","California","$640889"
"Rouzer David (R-NC)","North Carolina","$639428"
