"Senator","State","Amount"
"Rochester Lisa Blunt (D-DE)","Delaware","$1919756"
"DeWine Mike (R-OH)","Ohio","$1908820"
"Boxer Barbara (D-CA)","California","$1904039"
"Heller Dean (R-NV)","Nevada","$1895235"
"Udall Mark (D-CO)","Colorado","$1834582"
"Rockefeller Jay (D-WV)","West Virginia","$1832974"
"Chambliss Saxby (R-GA)","Georgia","$1815333"
"Carper Tom (D-DE)","Delaware","$1813394"
"Ensign John (R-NV)","Nevada","$1807449"
"Manchin Joe (D-WV)","West Virginia","$1781068"
"Lujan Ben Ray (D-NM)","New Mexico","$1745294"
"Scott Rick (R-FL)","Florida","$1739878"
"Coleman Norm (R-MN)","Minnesota","$1730192"
"Vitter David (R-LA)","Louisiana","$1715981"
"Moran Jerry (R-KS)","Kansas","$1712114"
"Donnelly Joe (D-IN)","Indiana","$1707463"
"Boozman John (R-AR)","Arkansas","$1695235"
"Murkowski Lisa (R-AK)","Alaska","$1647635"
"Bradley Bill (D)","","$1646369"
"Kim Andy (D-NJ)","New Jersey","$1645517"
"Torricelli Robert G (D-NJ)","New Jersey","$1607990"
"Allen George (R-VA)","Virginia","$1607655"
"Ernst Joni (R-IA)","Iowa","$1605587"
"Smith Gordon H (R-OR)","Oregon","$1594211"
"Gore Al (D)","","$1570483"
"Lankford James (R-OK)","Oklahoma","$1569327"
"Daschle Tom (D-SD)","South Dakota","$1563693"
"Coburn Tom (R-OK)","Oklahoma","$1561588"
"Dole Elizabeth (R-NC)","North Carolina","$1545480"
"Nelson Ben (D-NE)","Nebraska","$1536125"
"Mikulski Barbara A (D-MD)","Maryland","$1525629"
"Blumenthal Richard (D-CT)","Connecticut","$1521938"
"D'Amato Alfonse M (R-NY)","New York","$1521064"
"Hagan Kay R (D-NC)","North Carolina","$1514283"
"Conrad Kent (D-ND)","North Dakota","$1496913"
"Edwards John (D)","","$1482774"
"Ayotte Kelly (R-NH)","New Hampshire","$1452188"
"Bayh Evan (D-IN)","Indiana","$1450793"
"Sessions Jeff (R-AL)","Alabama","$1440288"
"Mullin Markwayne (R-OK)","Oklahoma","$1436798"
"Cotton Tom (R-AR)","Arkansas","$1430021"
"Lugar Richard G (R-IN)","Indiana","$1424348"
"DeMint Jim (R-SC)","South Carolina","$1417699"
"Dole Bob (R)","","$1415188"
"Hutchison Kay Bailey (R-TX)","Texas","$1414399"
"Coons Chris (D-DE)","Delaware","$1404486"
"Enzi Mike (R-WY)","Wyoming","$1375740"
"Marshall Roger (R-KS)","Kansas","$1371353"
"Smith Tina (D-MN)","Minnesota","$1324529"
"Voinovich George V (R-OH)","Ohio","$1289112"
"Thompson Fred (R)","","$1268160"
"Bond Christopher ""Kit"" (R-MO)","Missouri","$1257333"
"Pryor Mark (D-AR)","Arkansas","$1254268"
"Curtis John (R-UT)","Utah","$1223462"
"Whitehouse Sheldon (D-RI)","Rhode Island","$1219815"
"Franken Al (D-MN)","Minnesota","$1217380"
"Alsobrooks Angela (D-MD)","Maryland","$1198054"
"Snowe Olympia (R-ME)","Maine","$1183937"
"Reed Jack (D-RI)","Rhode Island","$1151853"
"Johnson Tim (D-SD)","South Dakota","$1143192"
"Shelby Richard C (R-AL)","Alabama","$1129830"
"Merkley Jeff (D-OR)","Oregon","$1103729"
"Hawley Josh (R-MO)","Missouri","$1099938"
"Bunning Jim (R-KY)","Kentucky","$1099800"
"Coats Dan (R-IN)","Indiana","$1072222"
"Lee Mike (R-UT)","Utah","$1043196"
"Inhofe James M (R-OK)","Oklahoma","$1035669"
"Welch Peter (D-VT)","Vermont","$1007252"
"Hagerty Bill (R-TN)","Tennessee","$995886"
"Abraham Spencer (R-MI)","Michigan","$990516"
"Lautenberg Frank (D-NJ)","New Jersey","$935126"
"Bingaman Jeff (D-NM)","New Mexico","$933702"
"Fischer Deb (R-NE)","Nebraska","$918154"
"Kerrey Bob (D-NE)","Nebraska","$892679"
"Cochran Thad (R-MS)","Mississippi","$866152"
"Martinez Mel (R-FL)","Florida","$861830"
"Udall Tom (D-NM)","New Mexico","$858885"
"Flake Jeff (R-AZ)","Arizona","$851411"
"Graham Bob (D-FL)","Florida","$849296"
"Sasse Ben (R-NE)","Nebraska","$848472"
"Moreno Bernie (R-OH)","Ohio","$848457"
"Banks Jim (R-IN)","Indiana","$846228"
"Gregg Judd (R-NH)","New Hampshire","$845934"
"Cleland Max (D-GA)","Georgia","$816640"
"Sununu John E (R-NH)","New Hampshire","$794168"
"Levin Carl (D-MI)","Michigan","$787977"
"King Angus (I-ME)","Maine","$763916"
"Faircloth Lauch (R-NC)","North Carolina","$748850"
"Cramer Kevin (R-ND)","North Dakota","$743943"
"McCormick Dave (R-PA)","Pennsylvania","$735792"
"Breaux John (D-LA)","Louisiana","$733722"
"Salazar Ken (D-CO)","Colorado","$730166"
"Budd Ted (R-NC)","North Carolina","$725724"
"Begich Mark (D-AK)","Alaska","$708653"
"Hirono Mazie K (D-HI)","Hawaii","$700249"
"Lott Trent (R-MS)","Mississippi","$693070"
"Hoeven John (R-ND)","North Dakota","$690931"
"Coverdell Paul (R-GA)","Georgia","$679978"
"Bennett Robert F (R-UT)","Utah","$674296"
"Brownback Sam (R)","","$668701"
"Padilla Alex (D-CA)","California","$655474"
"Britt Katie Boyd (R-AL)","Alabama","$652578"
"Ashcroft John (R-MO)","Missouri","$640855"
"Rounds Mike (R-SD)","South Dakota","$629944"
"Mack Connie (R-FL)","Florida","$625616"
"Hutchinson Tim (R-AR)","Arkansas","$623009"
"Sullivan Dan (R-AK)","Alaska","$587286"
"Inouye Daniel K (D-HI)","Hawaii","$581657"
"Domenici Pete V (R-NM)","New Mexico","$580210"
"Roth William V Jr (R-DE)","Delaware","$577841"
"Vance J D (R-OH)","Ohio","$575722"
"Burns Conrad (R-MT)","Montana","$575011"
"Helms Jesse (R-NC)","North Carolina","$568268"
"Braun Mike (R-IN)","Indiana","$564994"
"Sheehy Tim (R-MT)","Montana","$559638"
"Dorgan Byron L (D-ND)","North Dakota","$558850"
"Schatz Brian (D-HI)","Hawaii","$532309"
"Wofford Harris (D-PA)","Pennsylvania","$527914"
"Tuberville Tommy (R-AL)","Alabama","$517581"
"Jeffords James M (I-VT)","Vermont","$502074"
"Braun Carol Moseley (D)","","$486929"
"Wilson Pete (R)","","$486905"
"Nickles Don (R-OK)","Oklahoma","$480496"
"Leahy Patrick (D-VT)","Vermont","$477762"
"Robb Charles S (D-VA)","Virginia","$437330"
"Hyde-Smith Cindy (R-MS)","Mississippi","$413278"
"Carnahan Jean (D-MO)","Missouri","$403437"
"Stevens Ted (R-AK)","Alaska","$395754"
"Schmitt Eric (R-MO)","Missouri","$390141"
"Hagel Chuck (R-NE)","Nebraska","$388100"
"Wellstone Paul (D-MN)","Minnesota","$384475"
"Chafee Lincoln (L)","","$383000"
"Fitzgerald Peter G (R-IL)","Illinois","$375824"
"Packwood Bob (R-OR)","Oregon","$364671"
"Thomas Craig (R-WY)","Wyoming","$358040"
"Hollings Fritz (D-SC)","South Carolina","$355730"
"Risch James E (R-ID)","Idaho","$349059"
"Moynihan Daniel Patrick (D-NY)","New York","$323950"
"Warner John W (R-VA)","Virginia","$323093"
"Craig Larry (R-ID)","Idaho","$320525"
"Simon Paul (D-IL)","Illinois","$311316"
"Grams Rod (R-MN)","Minnesota","$310758"
"Chafee John H (R-RI)","Rhode Island","$293750"
"Gorton Slade (R-WA)","Washington","$292587"
"Allard Wayne (R-CO)","Colorado","$291713"
"Johanns Mike (R-NE)","Nebraska","$288522"
"Boschwitz Rudy (R-MN)","Minnesota","$287168"
"Pressler Larry (I-SD)","South Dakota","$278958"
"Ricketts Pete (R-NE)","Nebraska","$270886"
"Byrd Robert C (D-WV)","West Virginia","$261925"
"Campbell Ben Nighthorse (R-CO)","Colorado","$257388"
"Sasser Jim (D-TN)","Tennessee","$251999"
"Akaka Daniel K (D-HI)","Hawaii","$248210"
"Lummis Cynthia (R-WY)","Wyoming","$247427"
"Justice Jim (R-WV)","West Virginia","$237871"
"Webb Jim (D)","","$236282"
"Thurmond Strom (R-SC)","South Carolina","$233902"
"Smith Bob (R-NH)","New Hampshire","$228314"
"Bryan Richard H (D-NV)","Nevada","$227205"
"Glenn John (D-OH)","Ohio","$226186"
"Seymour John F (R-CA)","California","$223765"
"Cohen William S (R-ME)","Maine","$214822"
"Lemieux George S (R-FL)","Florida","$212150"
"Strange Luther (R-AL)","Alabama","$203106"
"Durenberger Dave (R-MN)","Minnesota","$186269"
"Kasten Bob (R-WI)","Wisconsin","$174854"
"Fowler Wyche Jr (D-GA)","Georgia","$170014"
"Murkowski Frank H (R-AK)","Alaska","$163786"
"Sarbanes Paul S (D-MD)","Maryland","$145100"
"Krueger Robert (Bob) (D-TX)","Texas","$125967"
"Hatfield Mark O (R-OR)","Oregon","$125322"
"Brown Hank (R-CO)","Colorado","$123546"
"Sanford James Terry (D-NC)","North Carolina","$117350"
"Johnston J Bennett (D-LA)","Louisiana","$111850"
"Miller Zell (D-GA)","Georgia","$111100"
"Heflin Howell (D-AL)","Alabama","$110015"
"Mitchell George J (D-ME)","Maine","$108533"
"Simpson Alan K (R-WY)","Wyoming","$100488"
"Bumpers Dale (D-AR)","Arkansas","$97675"
"Dixon Alan J (D-IL)","Illinois","$85800"
"Nunn Sam (D-GA)","Georgia","$83685"
"Walsh John (D-MT)","Montana","$78223"
"Pryor David (D-AR)","Arkansas","$76500"
"Boren David Lyle (D-OK)","Oklahoma","$75460"
"Exon Jim (D-NE)","Nebraska","$75050"
"Corzine Jon S (D-NJ)","New Jersey","$74675"
"Ford Wendell H (D-KY)","Kentucky","$74200"
"Pell Claiborne (D-RI)","Rhode Island","$73787"
"Kempthorne Dirk (R-ID)","Idaho","$59842"
"Deconcini Dennis (D-AZ)","Arizona","$56761"
"Dayton Mark (D-MN)","Minnesota","$53410"
"Adams Brock (D-WA)","Washington","$51710"
"Bentsen Lloyd (D-TX)","Texas","$44640"
"Cranston Alan (D)","","$41500"
"Wirth Timothy E (D-CO)","Colorado","$32400"
"Frahm Sheila (R-KS)","Kansas","$31300"
"Symms Steven D (R-ID)","Idaho","$31183"
"Kassebaum Nancy Landon (R-KS)","Kansas","$25200"
"Heinz John (R-PA)","Pennsylvania","$19750"
"Riegle Donald W Jr (D-MI)","Michigan","$19250"
"Rudman Warren B (R-NH)","New Hampshire","$12000"
"Kohl Herb (D-WI)","Wisconsin","$7000"
"Burris Roland (D-IL)","Illinois","$6000"
"Mathews Harlan (D-TN)","Tennessee","$6000"
"Barkley Dean M (I-MN)","Minnesota","$5803"
"McClure James A (R-ID)","Idaho","$4200"
"Danforth John C (R-MO)","Missouri","$3950"
"Wallop Malcolm (R-WY)","Wyoming","$3000"
