"Representative","State","Amount"
"Arrington Jodey (R-TX)","Texas","$750220"
"Crapo Mike (R-ID)","Idaho","$747709"
"Reed Tom (R-NY)","New York","$744406"
"Heller Dean (R-NV)","Nevada","$736240"
"Cantor Eric (R-VA)","Virginia","$727531"
"Tiahrt Todd (R-KS)","Kansas","$704925"
"Veasey Marc (D-TX)","Texas","$704600"
"Thompson Glenn (R-PA)","Pennsylvania","$703080"
"Lummis Cynthia (R-WY)","Wyoming","$702471"
"Latta Bob (R-OH)","Ohio","$702391"
"Shuster Bill (R-PA)","Pennsylvania","$694172"
"Rogers Mike (R-MI)","Michigan","$693234"
"James John (R-MI)","Michigan","$692343"
"Boren Dan (D-OK)","Oklahoma","$691940"
"McCrery Jim (R-LA)","Louisiana","$688165"
"Roy Chip (R-TX)","Texas","$685040"
"Neugebauer Randy (R-TX)","Texas","$679980"
"Hall Ralph (R-TX)","Texas","$668284"
"Hensarling Jeb (R-TX)","Texas","$660950"
"Cheney Liz (R-WY)","Wyoming","$657960"
"Nunes Devin (R-CA)","California","$655972"
"Denham Jeff (R-CA)","California","$653814"
"Hudson Richard (R-NC)","North Carolina","$650339"
"Bonilla Henry (R-TX)","Texas","$635034"
"Hern Kevin (R-OK)","Oklahoma","$625871"
"Valadao David (R-CA)","California","$625535"
"Tauzin Billy (R-LA)","Louisiana","$625486"
"Allred Colin (D-TX)","Texas","$617813"
"Cubin Barbara (R-WY)","Wyoming","$617310"
"Burgess Michael (R-TX)","Texas","$610773"
"Weber Randy (R-TX)","Texas","$604907"
"Graves Sam (R-MO)","Missouri","$602033"
"Coburn Tom (R-OK)","Oklahoma","$597157"
"Johnson Sam (R-TX)","Texas","$585550"
"Gonzalez Vicente (D-TX)","Texas","$578512"
"Camp Dave (R-MI)","Michigan","$578211"
"Boozman John (R-AR)","Arkansas","$576176"
"Van Duyne Beth (R-TX)","Texas","$570403"
"John Chris (D-LA)","Louisiana","$569600"
"Whitfield Ed (R-KY)","Kentucky","$563097"
"McKinley David (R-WV)","West Virginia","$555825"
"Murphy Tim (R-PA)","Pennsylvania","$544550"
"Taylor Van (R-TX)","Texas","$543391"
"Poe Ted (R-TX)","Texas","$542662"
"Edwards Chet (D-TX)","Texas","$542248"
"Calvert Ken (R-CA)","California","$538903"
"Smith Jason (R-MO)","Missouri","$537172"
"Buck Ken (R-CO)","Colorado","$534830"
"Kelly Mike (R-PA)","Pennsylvania","$530588"
"Bice Stephanie (R-OK)","Oklahoma","$528004"
"Gohmert Louis B Jr (R-TX)","Texas","$520787"
"Jenkins Lynn (R-KS)","Kansas","$516800"
"Bishop Rob (R-UT)","Utah","$514104"
"Harper Gregg (R-MS)","Mississippi","$513450"
"DeSantis Ron (R)","","$513368"
"Hoyer Steny H (D-MD)","Maryland","$512470"
"Stefanik Elise (R-NY)","New York","$510524"
"Thomas Craig (R-WY)","Wyoming","$509540"
"Carter John (R-TX)","Texas","$499264"
"Heck Joe (R-NV)","Nevada","$496081"
"DeWine Mike (R-OH)","Ohio","$491292"
"Simpson Mike (R-ID)","Idaho","$488550"
"Frost Martin (D-TX)","Texas","$486085"
"Schumer Charles E (D-NY)","New York","$483734"
"Landry Jeff (R-LA)","Louisiana","$483546"
"Sanders Bernie (I-VT)","Vermont","$481575"
"Dingell John D (D-MI)","Michigan","$479041"
"Walberg Tim (R-MI)","Michigan","$473546"
"Guthrie Brett (R-KY)","Kentucky","$472505"
"Tiberi Pat (R-OH)","Ohio","$468700"
"Paul Ron (R)","","$467263"
"Estes Ron (R-KS)","Kansas","$464099"
"Marchant Kenny (R-TX)","Texas","$460147"
"Matheson Jim (D-UT)","Utah","$457747"
"Duncan Jeff (R-SC)","South Carolina","$457167"
"Hastert Dennis (R-IL)","Illinois","$456538"
"Schaffer Bob (R-CO)","Colorado","$451342"
"Allard Wayne (R-CO)","Colorado","$451130"
"Udall Mark (D-CO)","Colorado","$443759"
"Issa Darrell (R-CA)","California","$442276"
"Curtis John (R-UT)","Utah","$441638"
"Watkins Wes (R-OK)","Oklahoma","$436536"
"Stivers Steve (R-OH)","Ohio","$433305"
"Brownback Sam (R)","","$432339"
"Isakson Johnny (R-GA)","Georgia","$431953"
"Balderson Troy (R-OH)","Ohio","$426961"
"Rogers Hal (R-KY)","Kentucky","$426395"
"Davis Rodney (R-IL)","Illinois","$425660"
"Rosendale Matt (R-MT)","Montana","$425289"
"Emmer Tom (R-MN)","Minnesota","$422946"
"Fields Jack M Jr (R-TX)","Texas","$422130"
"Larsen Rick (D-WA)","Washington","$418217"
"Barr Andy (R-KY)","Kentucky","$411009"
"Chambliss Saxby (R-GA)","Georgia","$407616"
"Babin Brian (R-TX)","Texas","$407170"
"Ensign John (R-NV)","Nevada","$405874"
"Kinzinger Adam (R-IL)","Illinois","$402493"
"Roskam Peter (R-IL)","Illinois","$400950"
"Gingrich Newt (R)","","$395590"
"McHenry Patrick (R-NC)","North Carolina","$395258"
"Talent James M (R-MO)","Missouri","$393798"
"Canseco Quico (R-TX)","Texas","$391226"
"Jackson Ronny (R-TX)","Texas","$390269"
"Fallin Mary (R-OK)","Oklahoma","$389973"
"Stauber Pete (R-MN)","Minnesota","$388567"
"Udall Tom (D-NM)","New Mexico","$387777"
"Lazio Rick A (R-NY)","New York","$384075"
"Jindal Bobby (R)","","$382650"
"Craig Larry (R-ID)","Idaho","$381296"
"Carson Brad R (D-OK)","Oklahoma","$378532"
"Richardson Bill (D)","","$377817"
"Melancon Charles (D-LA)","Louisiana","$374650"
"Kyl Jon (R-AZ)","Arizona","$374372"
"Pombo Richard W (R-CA)","California","$372988"
"Stewart Chris (R-UT)","Utah","$372771"
"Northup Anne M (R-KY)","Kentucky","$372479"
"Terry Lee (R-NE)","Nebraska","$372350"
"Farenthold Blake (R-TX)","Texas","$372327"
"Campbell Ben Nighthorse (R-CO)","Colorado","$371784"
"Watts J C Jr (R-OK)","Oklahoma","$369955"
"Tenney Claudia (R-NY)","New York","$369805"
"Renacci Jim (R-OH)","Ohio","$368145"
"Wyden Ron (D-OR)","Oregon","$367351"
"Gephardt Richard A (D)","","$367158"
"Hastings Doc (R-WA)","Washington","$365670"
"Istook Ernest J (R-OK)","Oklahoma","$365083"
"Richmond Cedric (D-LA)","Louisiana","$364850"
"Kirk Mark (R-IL)","Illinois","$364311"
"De La Cruz Monica (R-TX)","Texas","$362381"
"Griffith Morgan (R-VA)","Virginia","$359125"
"Barrow John (D-GA)","Georgia","$358600"
"Gibbs Bob (R-OH)","Ohio","$352458"
"Marshall Roger (R-KS)","Kansas","$350173"
"Lamborn Doug (R-CO)","Colorado","$349455"
"Katko John (R-NY)","New York","$348638"
"Geren Pete (D-TX)","Texas","$342202"
"Yoder Kevin (R-KS)","Kansas","$341175"
"Paulsen Erik (R-MN)","Minnesota","$340943"
"Schrader Kurt (D-OR)","Oregon","$339050"
"Boucher Rick (D-VA)","Virginia","$337967"
"Bunning Jim (R-KY)","Kentucky","$336956"
"Thomas Bill (R-CA)","California","$335643"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$334743"
"LaHood Darin (R-IL)","Illinois","$334700"
"Reschenthaler Guy (R-PA)","Pennsylvania","$333762"
"Ross Mike (D-AR)","Arkansas","$333250"
"Sununu John E (R-NH)","New Hampshire","$332980"
"McClintock Tom (R-CA)","California","$332006"
"Jackson Lee Sheila (D-TX)","Texas","$330986"
"Bilirakis Gus (R-FL)","Florida","$326150"
"Hill French (R-AR)","Arkansas","$325503"
"Joyce David P (R-OH)","Ohio","$325154"
"Pickering Charles (Chip) Jr (R-MS)","Mississippi","$321822"
"Aderholt Robert B (R-AL)","Alabama","$321353"
"Royce Ed (R-CA)","California","$320999"
"Carter Buddy (R-GA)","Georgia","$319383"
"Flake Jeff (R-AZ)","Arizona","$316410"
"Kasich John (R)","","$309392"
"Budd Ted (R-NC)","North Carolina","$309275"
"Lampson Nick (D-TX)","Texas","$305544"
"Synar Michael Lynn (D-OK)","Oklahoma","$303620"
"Teague Harry (D-NM)","New Mexico","$300908"
"Chabot Steve (R-OH)","Ohio","$299137"
"Sinema Kyrsten (I-AZ)","Arizona","$298198"
"Benishek Dan (R-MI)","Michigan","$297576"
"Menendez Robert (I-NJ)","New Jersey","$296324"
"Kean Thomas H Jr (R-NJ)","New Jersey","$292030"
"Gooden Lance (R-TX)","Texas","$290900"
"Dent Charlie (R-PA)","Pennsylvania","$290701"
"Alexander Rodney (R-LA)","Louisiana","$290259"
"Jordan Jim (R-OH)","Ohio","$287034"
"Rothfus Keith J (R-PA)","Pennsylvania","$285837"
"Banks Jim (R-IN)","Indiana","$283551"
"Griffin Tim (R-AR)","Arkansas","$280333"
"DeMint Jim (R-SC)","South Carolina","$278321"
"Laturner Jake (R-KS)","Kansas","$277499"
"Meehan Patrick (R-PA)","Pennsylvania","$275800"
"Noem Kristi (R-SD)","South Dakota","$275501"
"Armey Dick (R-TX)","Texas","$274925"
"Pence Mike (R)","","$274620"
"Andrews Michael Allen (D-TX)","Texas","$274360"
"Hutchinson Tim (R-AR)","Arkansas","$273694"
"Walorski Jackie (R-IN)","Indiana","$273336"
"Zeldin Lee (R-NY)","New York","$273032"
"Porter Jon (R-NV)","Nevada","$271608"
"Schweikert David (R-AZ)","Arizona","$271525"
"Bilbray Brian P (R-CA)","California","$269968"
"Walters Mimi (R-CA)","California","$269850"
"Luttrell Morgan (R-TX)","Texas","$269407"
"Gottheimer Josh (D-NJ)","New Jersey","$268099"
"Palazzo Steven (R-MS)","Mississippi","$267107"
"Huelskamp Tim (R-KS)","Kansas","$266746"
"Mica John L (R-FL)","Florida","$266273"
"Wagner Ann (R-MO)","Missouri","$265731"
"Garrett Scott (R-NJ)","New Jersey","$265698"
"Laughlin Greg (R-TX)","Texas","$263569"
"Flores Mayra (R-TX)","Texas","$260347"
"Russell Steven (R-OK)","Oklahoma","$260250"
"Pallone Frank Jr (D-NJ)","New Jersey","$259489"
"Bacon Donald John (R-NE)","Nebraska","$259223"
"Brown Sherrod (D-OH)","Ohio","$258110"
"Pence Greg (R-IN)","Indiana","$257750"
"Gianforte Greg (R-MT)","Montana","$255351"
"Bentsen Ken (D-TX)","Texas","$254775"
"Hinson Ashley (R-IA)","Iowa","$254082"
"Garcia Mike (R-CA)","California","$253999"
"Bachmann Michele (R-MN)","Minnesota","$251928"
"Oxley Michael G (R-OH)","Ohio","$251099"
"Steil Bryan (R-WI)","Wisconsin","$250590"
"Ortiz Solomon P (D-TX)","Texas","$250432"
"Largent Steve (R-OK)","Oklahoma","$250330"
"Johnson Dusty (R-SD)","South Dakota","$250186"
"English Phil (R-PA)","Pennsylvania","$249786"
"Garcia Sylvia (D-TX)","Texas","$249548"
"Murtha John P (D-PA)","Pennsylvania","$248445"
"Musgrave Marilyn (R-CO)","Colorado","$246975"
"Kim Young (R-CA)","California","$245696"
"Sandlin Max (D-TX)","Texas","$245227"
"Thompson Bennie G (D-MS)","Mississippi","$244802"
"Comstock Barbara (R-VA)","Virginia","$244604"
"Perry Scott (R-PA)","Pennsylvania","$238752"
"Correa Lou (D-CA)","California","$238100"
"Davis Geoff (R-KY)","Kentucky","$236244"
"Miller-Meeks Mariannette (R-IA)","Iowa","$234826"
"Boebert Lauren (R-CO)","Colorado","$234145"
"White Rick (R-WA)","Washington","$233419"
"Nehls Troy (R-TX)","Texas","$233098"
"Bost Mike (R-IL)","Illinois","$232372"
"Dickey Jay (R-AR)","Arkansas","$230684"
"Hayworth J D (R-AZ)","Arizona","$230625"
"Kline John (R-MN)","Minnesota","$228955"
"Stenholm Charles W (D-TX)","Texas","$227689"
"Heinrich Martin (D-NM)","New Mexico","$227630"
"Beutler Jaime Herrera (R-WA)","Washington","$226713"
"Barletta Lou (R-PA)","Pennsylvania","$226644"
"Fincher Steve (R-TN)","Tennessee","$226150"
"Perlmutter Ed (D-CO)","Colorado","$225624"
"Smucker Lloyd (R-PA)","Pennsylvania","$223902"
"McInnis Scott (R-CO)","Colorado","$222921"
"West Allen (R-FL)","Florida","$222872"
"Weller Jerry (R-IL)","Illinois","$221150"
"Huizenga Bill (R-MI)","Michigan","$220507"
"Clyburn James E (D-SC)","South Carolina","$220322"
"Doyle Mike (D-PA)","Pennsylvania","$220012"
"Harris Andy (R-MD)","Maryland","$219872"
"Baker Richard (R-LA)","Louisiana","$219867"
"Bergman John (R-MI)","Michigan","$219144"
"Collins Chris (R-NY)","New York","$218100"
"Ellzey Jake (R-TX)","Texas","$217348"
"Gallagher Mike (R-WI)","Wisconsin","$217338"
"Goldman Craig (R-TX)","Texas","$216729"
"Rouzer David (R-NC)","North Carolina","$215976"
"Neal Richard E (D-MA)","Massachusetts","$215550"
"Steel Michelle (R-CA)","California","$214283"
"Beauprez Bob (R-CO)","Colorado","$213912"
"Buchanan Vernon (R-FL)","Florida","$213191"
"Diaz-Balart Mario (R-FL)","Florida","$212650"
"Hayes Robin (R-NC)","North Carolina","$212005"
"Long Billy (R-MO)","Missouri","$211300"
"Rahall Nick (D-WV)","West Virginia","$211208"
"Bliley Thomas J Jr (R-VA)","Virginia","$211116"
"Poliquin Bruce (R-ME)","Maine","$210001"
"Love Mia (R-UT)","Utah","$208935"
"Mack Connie (R-FL)","Florida","$208814"
"Wittman Rob (R-VA)","Virginia","$208508"
"Lungren Dan (R-CA)","California","$208300"
"Bridenstine James (R-OK)","Oklahoma","$207400"
"Nunnelee Alan (R-MS)","Mississippi","$207300"
"Brewster Bill (D-OK)","Oklahoma","$206493"
"Hayes Jimmy (R-LA)","Louisiana","$206382"
"Higgins Clay (R-LA)","Louisiana","$206296"
"Dorgan Byron L (D-ND)","North Dakota","$206268"
"Palmer Gary (R-AL)","Alabama","$204800"
"Thompson Mike (D-CA)","California","$204460"
"Goodlatte Bob (R-VA)","Virginia","$204350"
"Tancredo Tom (3)","","$202617"
"Joyce John (R-PA)","Pennsylvania","$200520"
"Foxx Virginia (R-NC)","North Carolina","$200016"
"Sewell Terri (D-AL)","Alabama","$200000"
"Guest Michael (R-MS)","Mississippi","$199873"
"Grams Rod (R-MN)","Minnesota","$198970"
"Rogers Mike D (R-AL)","Alabama","$198900"
"Duffy Sean P (R-WI)","Wisconsin","$198510"
"Mast Brian (R-FL)","Florida","$198261"
"Nethercutt George R Jr (R-WA)","Washington","$197695"
"Ciscomani Juan (R-AZ)","Arizona","$196438"
"Black Diane (R-TN)","Tennessee","$196330"
"Rohrabacher Dana (R-CA)","California","$195354"
"Womack Steve (R-AR)","Arkansas","$194758"
"Crawford Rick (R-AR)","Arkansas","$194722"
"Lawler Mike (R-NY)","New York","$194644"
"Newhouse Dan (R-WA)","Washington","$194510"
"LaMalfa Doug (R-CA)","California","$194236"
"Curbelo Carlos (R-FL)","Florida","$192337"
"Pitts Joe (R-PA)","Pennsylvania","$190750"
"Kennedy Mark (R-MN)","Minnesota","$189165"
"Reynolds Tom (R-NY)","New York","$189061"
"Bass Charles (R-NH)","New Hampshire","$188660"
"Smith Adrian (R-NE)","Nebraska","$188600"
"Dreier David (R-CA)","California","$185750"
"Pelosi Nancy (D-CA)","California","$185359"
"Mooney Alex (R-WV)","West Virginia","$185018"
"Ferguson Drew (R-GA)","Georgia","$184465"
"Schaefer Dan (R-CO)","Colorado","$183290"
"Molinaro Marc (R-NY)","New York","$183271"
"Malliotakis Nicole (R-NY)","New York","$182418"
"Bachus Spencer (R-AL)","Alabama","$182203"
"Snowe Olympia (R-ME)","Maine","$182108"
"Turner Michael R (R-OH)","Ohio","$182106"
"Holding George (R-NC)","North Carolina","$180955"
"Miller Carol (R-WV)","West Virginia","$180476"
"Gerlach Jim (R-PA)","Pennsylvania","$179434"
"Stutzman Marlin (R-IN)","Indiana","$178396"
"Peterson Collin (D-MN)","Minnesota","$177953"
"Vela Filemon (D-TX)","Texas","$177856"
"McCurdy Dave (D-OK)","Oklahoma","$177498"
"Bono Mack Mary (R-CA)","California","$176625"
"Kingston Jack (R-GA)","Georgia","$176450"
"Smith Bob (R-NH)","New Hampshire","$176135"
"Shadegg John (R-AZ)","Arizona","$176095"
"Bucshon Larry (R-IN)","Indiana","$176055"
"Brown Hank (R-CO)","Colorado","$175948"
"Ratcliffe John (R-TX)","Texas","$174825"
"Cloud Michael (R-TX)","Texas","$174057"
"Ryun Jim (R-KS)","Kansas","$173471"
"Graves Tom (R-GA)","Georgia","$173100"
"Gonzalez Charlie A (D-TX)","Texas","$172350"
"Bishop Mike (R-MI)","Michigan","$171280"
"Mace Nancy (R-SC)","South Carolina","$170216"
"Duncan John J Jr (R-TN)","Tennessee","$169611"
"Peltola Mary (D-AK)","Alaska","$168226"
"Ryan Tim (D-OH)","Ohio","$167051"
"Jefferson William J (D-LA)","Louisiana","$166925"
"Markey Ed (D-MA)","Massachusetts","$166904"
"Nelson Bill (D-FL)","Florida","$166184"
"Feenstra Randy (R-IA)","Iowa","$164957"
"Hobson Dave (R-OH)","Ohio","$164120"
"Shuster Bud (R-PA)","Pennsylvania","$163900"
"Gillibrand Kirsten (D-NY)","New York","$162293"
"Cramer Bud (D-AL)","Alabama","$162152"
"Donalds Byron (R-FL)","Florida","$161485"
"Livingston Robert L (R-LA)","Louisiana","$160504"
"Dooley Cal (D-CA)","California","$159928"
"Gordon Bart (D-TN)","Tennessee","$159800"
"Mann Tracey (R-KS)","Kansas","$158450"
"Chavez-Deremer Lori (R-OR)","Oregon","$158281"
"Lujan Ben Ray (D-NM)","New Mexico","$157124"
"Chaffetz Jason (R-UT)","Utah","$157050"
"Radanovich George (R-CA)","California","$156838"
"Lance Leonard (R-NJ)","New Jersey","$156300"
"Carey Mike (R-OH)","Ohio","$155700"
"Zimmer Dick (R-NJ)","New Jersey","$155700"
"Fong Vince (R-CA)","California","$155256"
"Myrick Sue (R-NC)","North Carolina","$155135"
"Castro Joaquin (D-TX)","Texas","$154619"
"Collins Doug (R-GA)","Georgia","$154320"
"Torricelli Robert G (D-NJ)","New Jersey","$154313"
"Davis Tom (R-VA)","Virginia","$154110"
"Shaw E Clay Jr (R-FL)","Florida","$153800"
"Hinojosa Ruben (D-TX)","Texas","$153084"
"Johnson Tim (D-SD)","South Dakota","$152856"
"Franks Bob (R-NJ)","New Jersey","$152657"
"Tonko Paul (D-NY)","New York","$152426"
"Rosen Jacky (D-NV)","Nevada","$152311"
"Capuano Michael E (D-MA)","Massachusetts","$151775"
"Kiggans Jen (R-VA)","Virginia","$151469"
"Hart Melissa (R-PA)","Pennsylvania","$151053"
"Faso John (R-NY)","New York","$150442"
"Rangel Charles B (D-NY)","New York","$150025"
"Messer Luke (R-IN)","Indiana","$149800"
"King Pete (R-NY)","New York","$149396"
"Green Mark (R-TN)","Tennessee","$148571"
"Southerland Steve (R-FL)","Florida","$147112"
"Peterson John E (R-PA)","Pennsylvania","$145832"
"Durbin Dick (D-IL)","Illinois","$145472"
"Wilson Charles (D-TX)","Texas","$145350"
"Carper Tom (D-DE)","Delaware","$144863"
"Mollohan Alan B (D-WV)","West Virginia","$144450"
"Welch Peter (D-VT)","Vermont","$144387"
"Fletcher Ernie (R-KY)","Kentucky","$143504"
"Baldwin Tammy (D-WI)","Wisconsin","$143409"
"Price Tom (R-GA)","Georgia","$142500"
"Kustoff David (R-TN)","Tennessee","$142000"
"Martin Lynn (R-IL)","Illinois","$141689"
"Taylor Charles H (R-NC)","North Carolina","$141365"
"Andrews Robert E (D-NJ)","New Jersey","$140700"
"Wilson Joe (R-SC)","South Carolina","$140620"
"Collins Mac (R-GA)","Georgia","$140258"
"Salazar John (D-CO)","Colorado","$140210"
"Lewis Jason (R-MN)","Minnesota","$139457"
"Skeen Joe (R-NM)","New Mexico","$139202"
"Visclosky Pete (D-IN)","Indiana","$138863"
"Lewis Jerry (R-CA)","California","$138650"
"Moolenaar John (R-MI)","Michigan","$138450"
"Bishop Sanford (D-GA)","Georgia","$138352"
"Johnson Nancy L (R-CT)","Connecticut","$138201"
"McIntosh David M (R-IN)","Indiana","$137881"
"Van Orden Derrick (R-WI)","Wisconsin","$137742"
"Garbarino Andrew (R-NY)","New York","$137641"
"Knight Steve (R-CA)","California","$137637"
"Pryce Deborah (R-OH)","Ohio","$136492"
"Doolittle John T (R-CA)","California","$136475"
"Foley Mark (R-FL)","Florida","$136350"
"Salazar Maria (R-FL)","Florida","$136247"
"Handel Karen (R-GA)","Georgia","$136126"
"Doggett Lloyd (D-TX)","Texas","$135911"
"Ney Bob (R-OH)","Ohio","$135139"
"Comer James (R-KY)","Kentucky","$133902"
"Crist Charlie (D-FL)","Florida","$133130"
"Peters Gary (D-MI)","Michigan","$133011"
"Hageman Harriet (R-WY)","Wyoming","$132442"
"Jenkins Evan (R-WV)","West Virginia","$132391"
"Herger Wally (R-CA)","California","$132075"
"Nunn Zach (R-IA)","Iowa","$132060"
"Norwood Charles W (R-GA)","Georgia","$131961"
"Fleischmann Chuck (R-TN)","Tennessee","$131650"
"Tanner John (D-TN)","Tennessee","$131650"
"Allen Richard W (R-GA)","Georgia","$131600"
"Amash Justin (R-MI)","Michigan","$131275"
"Wolf Frank (R-VA)","Virginia","$131082"
"Grothman Glenn (R-WI)","Wisconsin","$130943"
"Cardin Ben (D-MD)","Maryland","$130885"
"Petri Tom (R-WI)","Wisconsin","$130850"
"Stockman Steve (R-TX)","Texas","$130400"
"Luna Anna Paulina (R-FL)","Florida","$129425"
"Taylor Scott (R-VA)","Virginia","$129172"
"Jones Walter B Jr (R-NC)","North Carolina","$129108"
"Gingrey Phil (R-GA)","Georgia","$128950"
"Posey Bill (R-FL)","Florida","$128500"
"Lesko Debbie (R-AZ)","Arizona","$128476"
"Matsui Robert T (D-CA)","California","$128271"
"Kelly Trent (R-MS)","Mississippi","$127952"
"Fazio Vic (D-CA)","California","$127410"
"Krishnamoorthi Raja (D-IL)","Illinois","$127333"
"Taylor Gene (R-MS)","Mississippi","$127250"
"Dunn Jennifer (R-WA)","Washington","$126800"
"Cooper Jim (D-TN)","Tennessee","$126425"
"Cantwell Maria (D-WA)","Washington","$125791"
"Drake Thelma (R-VA)","Virginia","$125710"
"Rogan James E (R-CA)","California","$125602"
"Rodriguez Ciro D (D-TX)","Texas","$125300"
"Matsui Doris (D-CA)","California","$125015"
"Horsford Steven (D-NV)","Nevada","$124731"
"Letlow Julia (R-LA)","Louisiana","$123000"
"Israel Steve (D-NY)","New York","$122800"
"Amodei Mark (R-NV)","Nevada","$122600"
"Tauke Tom (R-IA)","Iowa","$122524"
"Fedorchak Julie (R-ND)","North Dakota","$122325"
"Young David (R-IA)","Iowa","$121725"
"Butterfield G K (D-NC)","North Carolina","$121300"
"Hartzler Vicky (R-MO)","Missouri","$121276"
"Fitzpatrick Michael G (R-PA)","Pennsylvania","$121178"
"Callahan Sonny (R-AL)","Alabama","$119900"
"Horn Kendra (D-OK)","Oklahoma","$119743"
"McCollum Bill (R-FL)","Florida","$119647"
"Rush Bobby (D-IL)","Illinois","$118700"
"Maloney Carolyn (D-NY)","New York","$118458"
"Kolbe Jim (R-AZ)","Arizona","$118269"
"Schneider Brad (D-IL)","Illinois","$117986"
"Houghton Amo (R-NY)","New York","$117900"
"Simmons Rob (R-CT)","Connecticut","$117830"
"Cardenas Tony (D-CA)","California","$117330"
"Gillmor Paul E (R-OH)","Ohio","$116870"
"Moran Nathaniel (R-TX)","Texas","$116451"
"Ellmers Renee (R-NC)","North Carolina","$116300"
"Paxon Bill (R-NY)","New York","$115952"
"Cannon Chris (R-UT)","Utah","$115700"
"Schock Aaron (R-IL)","Illinois","$115650"
"Larson John (D-CT)","Connecticut","$115570"
"Schiff Adam (D-CA)","California","$115464"
"Rokita Todd (R-IN)","Indiana","$114700"
"Chandler Rod (R-WA)","Washington","$114405"
"Dold Bob (R-IL)","Illinois","$114400"
"Akin Todd (R-MO)","Missouri","$114299"
"Cooksey John (R-LA)","Louisiana","$114225"
"Combest Larry (R-TX)","Texas","$113395"
