"Senator","State","Amount"
"Franken Al (D-MN)","Minnesota","$52248"
"Sarbanes Paul S (D-MD)","Maryland","$52100"
"Roth William V Jr (R-DE)","Delaware","$51250"
"Coburn Tom (R-OK)","Oklahoma","$51101"
"Kempthorne Dirk (R-ID)","Idaho","$48897"
"Carnahan Jean (D-MO)","Missouri","$46494"
"Deconcini Dennis (D-AZ)","Arizona","$44667"
"Bumpers Dale (D-AR)","Arkansas","$44050"
"Feingold Russ (D-WI)","Wisconsin","$42355"
"Fitzgerald Peter G (R-IL)","Illinois","$41500"
"Marshall Roger (R-KS)","Kansas","$41443"
"Wilson Pete (R)","","$38650"
"Fowler Wyche Jr (D-GA)","Georgia","$38050"
"McClure James A (R-ID)","Idaho","$37947"
"Vance J D (R-OH)","Ohio","$37003"
"Ricketts Pete (R-NE)","Nebraska","$36893"
"Schmitt Eric (R-MO)","Missouri","$34301"
"Salazar Ken (D-CO)","Colorado","$34200"
"Breaux John (D-LA)","Louisiana","$33752"
"Wofford Harris (D-PA)","Pennsylvania","$33650"
"Braun Mike (R-IN)","Indiana","$33185"
"Krueger Robert (Bob) (D-TX)","Texas","$31750"
"Simpson Alan K (R-WY)","Wyoming","$29000"
"Lummis Cynthia (R-WY)","Wyoming","$28502"
"Pressler Larry (I-SD)","South Dakota","$27999"
"Pell Claiborne (D-RI)","Rhode Island","$27850"
"Wallop Malcolm (R-WY)","Wyoming","$25750"
"Bryan Richard H (D-NV)","Nevada","$25450"
"Moynihan Daniel Patrick (D-NY)","New York","$22800"
"Jeffords James M (I-VT)","Vermont","$20750"
"Justice Jim (R-WV)","West Virginia","$18364"
"Symms Steven D (R-ID)","Idaho","$18200"
"Braun Carol Moseley (D)","","$17600"
"Johanns Mike (R-NE)","Nebraska","$14500"
"Frahm Sheila (R-KS)","Kansas","$13000"
"Miller Zell (D-GA)","Georgia","$12000"
"Simon Paul (D-IL)","Illinois","$10650"
"Riegle Donald W Jr (D-MI)","Michigan","$10500"
"Bentsen Lloyd (D-TX)","Texas","$8030"
"Sanford James Terry (D-NC)","North Carolina","$7950"
"Packwood Bob (R-OR)","Oregon","$7750"
"Burris Roland (D-IL)","Illinois","$6250"
"Wellstone Paul (D-MN)","Minnesota","$6150"
"Garn Jake (R-UT)","Utah","$6100"
"Mitchell George J (D-ME)","Maine","$5750"
"Pryor David (D-AR)","Arkansas","$5200"
"Durenberger Dave (R-MN)","Minnesota","$5050"
"Boren David Lyle (D-OK)","Oklahoma","$5000"
"Danforth John C (R-MO)","Missouri","$4000"
"Lemieux George S (R-FL)","Florida","$3500"
"Heinz John (R-PA)","Pennsylvania","$3250"
"Kassebaum Nancy Landon (R-KS)","Kansas","$3250"
"Cranston Alan (D)","","$3000"
"Ford Wendell H (D-KY)","Kentucky","$3000"
"Kohl Herb (D-WI)","Wisconsin","$2000"
"Adams Brock (D-WA)","Washington","$1000"
"Rudman Warren B (R-NH)","New Hampshire","$1000"
"Walsh John (D-MT)","Montana","$1000"
"Dayton Mark (D-MN)","Minnesota","$300"
